asset,tenor,moneyness_label,xOtm,source_batch_name,comparison_scope,cycleCount,meanCycleReturnPct,medianCycleReturnPct,stdDevCycleReturnPct,skewness,excessKurtosis,interquartileRangePct,p05CycleReturnPct,p25CycleReturnPct,p75CycleReturnPct,p95CycleReturnPct,tailConcentrationPct,severeLossFrequencyPct,severeLossThresholdPct,cappedUpsideFrequencyPct,cappedUpsideThresholdPct,histogramMinPct,histogramMaxPct,histogramBinCount,histogramCounts,warnings
BTC,14d,atm00,0,batch_years_btc_14d_atm00_2020_2026,full_period,160,1.227286,3.417574,6.692004,-2.442799,7.980206,4.662663,-12.14705,-0.24052,4.422143,7.252665,52.581402,5,-12.14705,5,7.252665,-35.705695,11.945673,10,1|0|2|2|4|6|16|22|98|9,
BTC,14d,otm03,0.03,batch_years_btc_14d_otm03_2020_2026,full_period,160,1.395837,3.957382,7.480146,-1.992829,5.24784,7.42159,-13.460726,-1.47408,5.947511,8.539369,47.86837,5,-13.460726,5,8.539369,-35.705695,12.237782,10,1|1|2|1|7|6|17|29|77|19,
BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2020_2026,full_period,158,1.590401,3.76727,8.262575,-1.521772,3.460937,8.779768,-14.153417,-1.783815,6.995953,10.551949,45.487291,5.063291,-14.153417,5.063291,10.551949,-35.705695,19.834819,10,1|2|1|6|7|19|38|64|19|1,
BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2026_2026,partial_period,9,0.189607,4.530751,9.465509,-1.40299,0.681459,8.504138,-16.110288,-2.231075,6.273063,7.133285,56.025762,11.111111,-16.110288,11.111111,7.133285,-18.603405,7.283791,10,1|0|1|0|0|0|1|0|2|4,partial_period_excluded_from_primary_rankings
BTC,14d,otm07,0.07,batch_years_btc_14d_otm07_2020_2026,full_period,158,1.754,3.468639,8.634595,-1.365517,2.782929,9.8846,-14.719821,-2.195625,7.688974,11.530739,44.009515,5.063291,-14.719821,5.063291,11.530739,-35.705695,19.834819,10,1|2|1|6|8|21|36|53|28|2,
BTC,14d,otm10,0.1,batch_years_btc_14d_otm10_2020_2026,full_period,158,1.904329,2.830656,9.041541,-1.101142,2.300855,12.27951,-14.798693,-3.16593,9.11358,12.864981,41.047325,5.063291,-14.798693,5.063291,12.864981,-38.805695,19.834819,10,1|0|2|4|6|23|38|37|44|3,
BTC,monthly,atm00,0,batch_years_btc_monthly_atm00_2020_2026,full_period,76,2.304655,5.002553,8.374187,-1.480276,1.692728,6.323317,-17.186504,0.605157,6.928473,12.315782,44.314097,5.263158,-17.186504,5.263158,12.315782,-23.085676,13.985813,10,3|2|3|1|3|6|7|29|16|6,
BTC,monthly,otm03,0.03,batch_years_btc_monthly_otm03_2020_2026,full_period,76,2.505207,6.140798,9.489374,-1.184486,0.856708,10.741114,-17.536504,-2.261673,8.479441,12.681624,40.623358,5.263158,-17.536504,5.263158,12.681624,-24.735676,17.790606,10,3|2|4|2|4|11|6|30|11|3,
BTC,monthly,otm05,0.05,batch_years_btc_monthly_otm05_2020_2026,full_period,76,2.784232,6.929122,10.131708,-1.062502,0.464992,11.687313,-17.851495,-2.336419,9.350894,14.274827,39.02456,5.263158,-17.851495,5.263158,14.274827,-24.735676,17.790606,10,3|3|3|2|6|10|6|23|14|6,
BTC,monthly,otm07,0.07,batch_years_btc_monthly_otm07_2020_2026,full_period,76,2.9029,6.58105,10.720582,-1.008198,0.345427,13.191222,-17.988995,-2.616797,10.574425,15.302022,38.565657,5.263158,-17.988995,5.263158,15.302022,-27.535676,17.790606,10,3|1|5|0|7|9|9|11|23|8,
