row_type,asset,tenor,moneyness_label,regime_label,comparison_scope,cycleCount,meanCycleReturnPct,medianCycleReturnPct,stdDevCycleReturnPct,interquartileRangePct,p01EstimatedCycleReturnPct,p05CycleReturnPct,p25CycleReturnPct,p75CycleReturnPct,p95CycleReturnPct,p99EstimatedCycleReturnPct,skewness,excessKurtosis,severeLossFrequencyPct,extremeUpsideFrequencyPct,tailAsymmetryPct,leftTailConcentrationPct,rightTailConcentrationPct,dispersionRatio,averageRegimeReturnPct,averageRegimeVolatilityPct,averageRegimeDrawdownPct,averageRegimeHitRatePct,notes
strategy,BTC,14d,atm00,,full_period,160,1.227286,3.417574,6.692004,4.662663,-24.74588,-12.14705,-0.24052,4.422143,7.252665,11.098538,-2.442799,7.980206,5,5,0,52.581402,15.452302,1.435232,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,14d,otm03,,full_period,160,1.395837,3.957382,7.480146,7.42159,-28.034739,-13.460726,-1.47408,5.947511,8.539369,11.834047,-1.992829,5.24784,5,5,0,47.86837,32.079447,1.00789,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,14d,otm05,,full_period,158,1.590401,3.76727,8.262575,8.779768,-28.540969,-14.153417,-1.783815,6.995953,10.551949,14.111223,-1.521772,3.460937,5.063291,5.063291,0,45.487291,37.315918,0.941093,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,14d,otm07,,full_period,158,1.754,3.468639,8.634595,9.8846,-28.540969,-14.719821,-2.195625,7.688974,11.530739,15.447118,-1.365517,2.782929,5.063291,5.063291,0,44.009515,4.97459,0.87354,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,14d,otm10,,full_period,158,1.904329,2.830656,9.041541,12.27951,-25.377017,-14.798693,-3.16593,9.11358,12.864981,16.746419,-1.101142,2.300855,5.063291,5.063291,0,41.047325,6.966618,0.736311,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,monthly,atm00,,full_period,76,2.304655,5.002553,8.374187,6.323317,-22.146532,-17.186504,0.605157,6.928473,12.315782,13.516241,-1.480276,1.692728,5.263158,5.263158,0,44.314097,0,1.324335,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,monthly,otm03,,full_period,76,2.505207,6.140798,9.489374,10.741114,-23.658344,-17.536504,-2.261673,8.479441,12.681624,16.713274,-1.184486,0.856708,5.263158,5.263158,0,40.623358,11.6109,0.883463,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,monthly,otm05,,full_period,76,2.784232,6.929122,10.131708,11.687313,-23.658344,-17.851495,-2.336419,9.350894,14.274827,17.25194,-1.062502,0.464992,5.263158,5.263158,0,39.02456,21.564016,0.866898,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,monthly,otm07,,full_period,76,2.9029,6.58105,10.720582,13.191222,-26.38741,-17.988995,-2.616797,10.574425,15.302022,17.360006,-1.008198,0.345427,5.263158,5.263158,0,38.565657,26.686097,0.812706,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,monthly,otm10,,full_period,76,3.23988,6.162148,11.810353,16.291152,-26.305189,-20.624004,-3.899173,12.391979,16.829624,20.297895,-0.833091,-0.059535,5.263158,5.263158,0,36.356739,18.348764,0.724955,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,weekly,itm05,,full_period,325,0.568134,0.919659,3.959565,1.386227,-16.383545,-4.882066,0.403954,1.790181,4.19189,8.206673,-4.687956,37.596442,2.461538,5.230769,2.769231,56.288695,66.293046,2.856361,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,weekly,atm00,,full_period,325,0.744814,2.086828,5.016499,3.538945,-20.365106,-7.591047,-0.345416,3.193529,5.554546,8.303822,-3.070653,16.172323,3.692308,5.230769,1.538461,46.931678,5.294985,1.417513,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,weekly,otm03,,full_period,325,0.923855,2.588917,5.805039,5.928135,-20.365106,-9.203948,-1.316394,4.61174,6.689461,11.202927,-2.250605,9.247897,4.307692,5.230769,0.923077,43.338981,14.472604,0.979235,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
strategy,BTC,weekly,otm05,,full_period,325,0.978204,2.248414,6.342403,7.353763,-22.302499,-9.307449,-1.968812,5.384951,8.185777,11.166089,-1.927412,7.972323,4.307692,5.230769,0.923077,40.667262,68.989423,0.86247,,,,,Cycle-based distribution row; p01/p99 are estimated from stored histogram bins.
