strategy,row_type,threshold,event_count,maxDrawdownPct,averageDurationCycles,averageRecoveryDurationCycles,startDate,troughDate,recoveryDate,recovered
Weekly OTM03,threshold_summary,>10%,9,-43.065651,24.777778,17,,,,
Weekly OTM03,threshold_summary,>20%,4,-43.065651,42.25,32.333333,,,,
Weekly OTM03,threshold_summary,>30%,4,-43.065651,42.25,32.333333,,,,
Weekly OTM03,threshold_summary,>40%,3,-43.065651,50.333333,42.5,,,,
Weekly OTM03,event,,,-4.007974,2,1,2020-01-24T08:00:00.000Z,2020-01-24T08:00:00.000Z,2020-01-31T08:00:00.000Z,true
Weekly OTM03,event,,,-41.168513,16,12,2020-02-21T08:00:00.000Z,2020-03-13T08:00:00.000Z,2020-06-05T08:00:00.000Z,true
Weekly OTM03,event,,,-2.792174,5,2,2020-06-12T08:00:00.000Z,2020-06-26T08:00:00.000Z,2020-07-10T08:00:00.000Z,true
Weekly OTM03,event,,,-10.77551,8,6,2020-08-28T08:00:00.000Z,2020-09-04T08:00:00.000Z,2020-10-16T08:00:00.000Z,true
Weekly OTM03,event,,,-4.294511,2,1,2020-11-27T08:00:00.000Z,2020-11-27T08:00:00.000Z,2020-12-04T08:00:00.000Z,true
Weekly OTM03,event,,,-5.426825,3,2,2020-12-11T08:00:00.000Z,2020-12-11T08:00:00.000Z,2020-12-25T08:00:00.000Z,true
Weekly OTM03,event,,,-13.183117,3,2,2021-01-22T08:00:00.000Z,2021-01-22T08:00:00.000Z,2021-02-05T08:00:00.000Z,true
Weekly OTM03,event,,,-9.30562,3,2,2021-02-26T08:00:00.000Z,2021-02-26T08:00:00.000Z,2021-03-12T08:00:00.000Z,true
Weekly OTM03,event,,,-4.135223,2,1,2021-03-26T08:00:00.000Z,2021-03-26T08:00:00.000Z,2021-04-02T08:00:00.000Z,true
Weekly OTM03,event,,,-33.435228,18,12,2021-04-23T08:00:00.000Z,2021-05-28T08:00:00.000Z,2021-08-20T08:00:00.000Z,true
Weekly OTM03,event,,,-3.453969,2,1,2021-09-10T08:00:00.000Z,2021-09-10T08:00:00.000Z,2021-09-17T08:00:00.000Z,true
Weekly OTM03,event,,,-3.675849,3,2,2021-09-24T08:00:00.000Z,2021-09-24T08:00:00.000Z,2021-10-08T08:00:00.000Z,true
Weekly OTM03,event,,,-1.194851,2,1,2021-10-29T08:00:00.000Z,2021-10-29T08:00:00.000Z,2021-11-05T08:00:00.000Z,true
Weekly OTM03,event,,,-43.065651,103,73,2021-11-19T08:00:00.000Z,2022-06-17T08:00:00.000Z,2023-11-17T08:00:00.000Z,true
Weekly OTM03,event,,,-1.316394,2,1,2023-12-29T08:00:00.000Z,2023-12-29T08:00:00.000Z,2024-01-12T08:00:00.000Z,true
Weekly OTM03,event,,,-10.004676,5,3,2024-01-19T08:00:00.000Z,2024-01-26T08:00:00.000Z,2024-02-16T08:00:00.000Z,true
Weekly OTM03,event,,,-0.005948,2,1,2024-03-22T08:00:00.000Z,2024-03-22T08:00:00.000Z,2024-03-29T08:00:00.000Z,true
Weekly OTM03,event,,,-1.491771,2,1,2024-04-05T08:00:00.000Z,2024-04-05T08:00:00.000Z,2024-04-12T08:00:00.000Z,true
Weekly OTM03,event,,,-8.843404,6,3,2024-04-19T08:00:00.000Z,2024-05-03T08:00:00.000Z,2024-05-24T08:00:00.000Z,true
Weekly OTM03,event,,,-19.419089,22,18,2024-06-14T08:00:00.000Z,2024-07-05T08:00:00.000Z,2024-11-08T08:00:00.000Z,true
Weekly OTM03,event,,,-1.176667,2,1,2024-11-29T08:00:00.000Z,2024-11-29T08:00:00.000Z,2024-12-06T08:00:00.000Z,true
Weekly OTM03,event,,,-1.497624,4,1,2024-12-20T08:00:00.000Z,2025-01-10T08:00:00.000Z,2025-01-17T08:00:00.000Z,true
Weekly OTM03,event,,,-19.846164,16,10,2025-02-07T08:00:00.000Z,2025-03-14T08:00:00.000Z,2025-05-23T08:00:00.000Z,true
Weekly OTM03,event,,,-4.450682,5,3,2025-05-30T08:00:00.000Z,2025-06-06T08:00:00.000Z,2025-06-27T08:00:00.000Z,true
Weekly OTM03,event,,,-2.553799,3,2,2025-07-25T08:00:00.000Z,2025-07-25T08:00:00.000Z,2025-08-08T08:00:00.000Z,true
Weekly OTM03,event,,,-6.192752,5,3,2025-08-22T08:00:00.000Z,2025-08-29T08:00:00.000Z,2025-09-19T08:00:00.000Z,true
Weekly OTM03,event,,,-41.626752,32,,2025-09-26T08:00:00.000Z,2026-02-06T08:00:00.000Z,,false
Weekly OTM05,threshold_summary,>10%,9,-51.150992,26,18.5,,,,
Weekly OTM05,threshold_summary,>20%,6,-51.150992,36,27.2,,,,
Weekly OTM05,threshold_summary,>30%,4,-51.150992,44.75,35.666667,,,,
Weekly OTM05,threshold_summary,>40%,3,-51.150992,53,46.5,,,,
Weekly OTM05,event,,,-4.007974,2,1,2020-01-24T08:00:00.000Z,2020-01-24T08:00:00.000Z,2020-01-31T08:00:00.000Z,true
Weekly OTM05,event,,,-45.726071,12,8,2020-02-21T08:00:00.000Z,2020-03-13T08:00:00.000Z,2020-05-08T08:00:00.000Z,true
