asset,tenor,moneyness_label,xOtm,source_batch_name,comparison_scope,startYear,endYear,startDate,endDate,cycleCount,reconstructedTotalReturnPct,summaryTotalReturnPct,returnDifferencePct,maxDrawdownPct,maxDrawdownDurationCycles,averageDrawdownPct,ulcerIndex,volatilityOfCycleReturns,downsideVolatility,SharpeSimple,SortinoSimple,returnOverMaxDrawdown,worstCycleReturnPct,bestCycleReturnPct,positiveCyclePct,negativeCyclePct,averageCycleReturnPct,medianCycleReturnPct,source_summary_path,warnings
BTC,14d,atm00,0,batch_years_btc_14d_atm00_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,160,374.283154,374.283154,0,-40.75701,25,-9.527229,14.270682,6.692004,7.73233,0.183396,0.158721,9.183283,-35.705695,11.945673,74.375,25.625,1.227286,3.417574,runs\batches\batch_years_btc_14d_atm00_2020_2026\summary.json,
BTC,14d,otm03,0.03,batch_years_btc_14d_otm03_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,160,464.619764,464.619764,0,-41.973546,39,-11.499435,16.511252,7.480146,7.687879,0.186606,0.181563,11.069347,-35.705695,12.237782,71.25,28.75,1.395837,3.957382,runs\batches\batch_years_btc_14d_otm03_2020_2026\summary.json,
BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,158,580.409196,580.409196,0,-44.798068,41,-12.633311,17.582176,8.262575,7.725705,0.192483,0.205858,12.956121,-35.705695,19.834819,66.455696,33.544304,1.590401,3.76727,runs\batches\batch_years_btc_14d_otm05_2020_2026\summary.json,
BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2026_2026,partial_period,2026,2026,2026-01-02,2026-05-15T08:00:00Z,9,-2.13291,-2.13291,0,-28.672662,8,-16.319348,18.377348,9.465509,8.263485,0.020031,0.022945,-0.074388,-18.603405,7.283791,66.666667,33.333333,0.189607,4.530751,runs\batches\batch_years_btc_14d_otm05_2026_2026\summary.json,partial_period_excluded_from_primary_rankings
BTC,14d,otm07,0.07,batch_years_btc_14d_otm07_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,158,736.58075,736.58075,0,-45.935641,41,-13.703884,18.873489,8.634595,7.68605,0.203136,0.228206,16.03506,-35.705695,19.834819,65.822785,34.177215,1.754,3.468639,runs\batches\batch_years_btc_14d_otm07_2020_2026\summary.json,
BTC,14d,otm10,0.1,batch_years_btc_14d_otm10_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,158,903.671998,903.671998,0,-45.877646,34,-12.331063,17.235075,9.041541,7.338968,0.21062,0.259482,19.697436,-38.805695,19.834819,62.658228,37.341772,1.904329,2.830656,runs\batches\batch_years_btc_14d_otm10_2020_2026\summary.json,
BTC,monthly,atm00,0,batch_years_btc_monthly_atm00_2020_2026,full_period,2020,2026,2020-01-03,2026-05-17T08:00:00Z,76,328.950514,328.950514,0,-44.977929,29,-12.265489,18.456561,8.374187,7.468039,0.275209,0.308602,7.313599,-23.085676,13.985813,76.315789,23.684211,2.304655,5.002553,runs\batches\batch_years_btc_monthly_atm00_2020_2026\summary.json,
BTC,monthly,otm03,0.03,batch_years_btc_monthly_otm03_2020_2026,full_period,2020,2026,2020-01-03,2026-05-17T08:00:00Z,76,361.907545,361.907545,0,-47.568723,27,-13.07182,19.522596,9.489374,7.874266,0.264001,0.318151,7.608099,-24.735676,17.790606,68.421053,31.578947,2.505207,6.140798,runs\batches\batch_years_btc_monthly_otm03_2020_2026\summary.json,
BTC,monthly,otm05,0.05,batch_years_btc_monthly_otm05_2020_2026,full_period,2020,2026,2020-01-03,2026-05-17T08:00:00Z,76,442.452167,442.452167,0,-51.161632,27,-14.318238,21.396311,10.131708,7.871027,0.274804,0.353732,8.648125,-24.735676,17.790606,68.421053,31.578947,2.784232,6.929122,runs\batches\batch_years_btc_monthly_otm05_2020_2026\summary.json,
BTC,monthly,otm07,0.07,batch_years_btc_monthly_otm07_2020_2026,full_period,2020,2026,2020-01-03,2026-05-17T08:00:00Z,76,464.872604,464.872604,0,-52.438931,27,-14.796817,21.981822,10.720582,8.141309,0.270778,0.356564,8.865028,-27.535676,17.790606,65.789474,34.210526,2.9029,6.58105,runs\batches\batch_years_btc_monthly_otm07_2020_2026\summary.json,
