asset,tenor,moneyness_label,model,lambda,riskBudgetPct,strategy_label,source_batch_name,comparison_scope,cycleCount,meanCycleReturnPct,medianCycleReturnPct,stdDevCycleReturnPct,skewness,excessKurtosis,p05CycleReturnPct,p25CycleReturnPct,p75CycleReturnPct,p95CycleReturnPct,leftTailFrequencyPct,leftTailThresholdPct,severeLossFrequencyPct,severeLossThresholdPct
BTC,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,weekly_otm10_ewma09_var5,batch_years_otm10_2020_2026,full_period,325,0.370495,0.749758,4.105589,-3.391232,35.695871,-5.012564,-1.027196,2.227016,4.74949,5.230769,-5,1.538462,-10
BTC,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,weekly_otm10_ewma09_var10,batch_years_otm10_2020_2026,full_period,325,0.715574,1.369657,5.871786,-1.778501,9.729819,-8.098855,-2.096824,3.954032,8.849284,11.384615,-5,3.692308,-10
BTC,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,weekly_otm10_ewma09_var15,batch_years_otm10_2020_2026,full_period,325,0.931316,1.612928,6.748347,-1.327133,5.745068,-9.604303,-2.627418,4.864835,10.396633,15.384615,-5,4.615385,-10
BTC,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,weekly_otm10_ewma094_var5,batch_years_otm10_2020_2026,full_period,325,0.355478,0.726997,4.030069,-3.514764,38.332056,-4.968705,-0.992415,2.108428,4.635748,5.230769,-5,1.230769,-10
BTC,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,weekly_otm10_ewma094_var10,batch_years_otm10_2020_2026,full_period,325,0.700966,1.232371,5.698978,-1.826639,10.674302,-7.514437,-1.916707,3.653226,8.676595,10.461538,-5,2.769231,-10
BTC,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,weekly_otm10_ewma094_var15,batch_years_otm10_2020_2026,full_period,325,0.92426,1.552644,6.71998,-1.342571,5.838577,-9.533003,-2.627418,4.800294,10.365828,15.076923,-5,4.615385,-10
BTC,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,14d_otm10_ewma09_var5,batch_years_btc_14d_otm10_2020_2026,full_period,158,0.320161,1.020622,5.531325,-2.475231,17.736032,-7.608509,-1.212545,2.599899,6.713349,8.860759,-5,3.164557,-10
BTC,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,14d_otm10_ewma09_var10,batch_years_btc_14d_otm10_2020_2026,full_period,158,0.83343,1.599419,6.031972,-1.930488,11.615921,-9.401815,-1.683566,4.293675,8.308736,10.759494,-5,3.797468,-10
BTC,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,14d_otm10_ewma09_var15,batch_years_btc_14d_otm10_2020_2026,full_period,158,1.29898,2.228278,7.452926,-1.401247,4.953041,-11.760398,-2.388137,6.237753,10.845566,15.822785,-5,6.329114,-10
BTC,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,14d_otm10_ewma094_var5,batch_years_btc_14d_otm10_2020_2026,full_period,158,0.303009,1.000376,5.542432,-2.480062,17.598182,-8.207409,-1.074211,2.625639,6.700986,8.860759,-5,3.164557,-10
BTC,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,14d_otm10_ewma094_var10,batch_years_btc_14d_otm10_2020_2026,full_period,158,0.799127,1.565965,5.865782,-2.023118,13.023966,-8.532489,-1.687477,4.238803,7.385593,9.493671,-5,3.797468,-10
BTC,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,14d_otm10_ewma094_var15,batch_years_btc_14d_otm10_2020_2026,full_period,158,1.282491,2.222106,7.234043,-1.438548,5.524119,-11.579161,-2.142951,5.957714,10.274812,15.822785,-5,6.329114,-10
