asset,regime,regime_label,regime_start,regime_end,tenor,moneyness_label,model,lambda,riskBudgetPct,strategy_label,source_batch_name,comparison_scope,cycleCount,returnPct,volatilityPct,drawdownPct,ulcerIndex,hitRatePct,averageCycleReturnPct,averageHedgeRatio,medianHedgeRatio,maxHedgeRatio,pctCyclesHedged
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,weekly_otm10_ewma09_var5,batch_years_otm10_2020_2026,full_period,103,51.277644,5.97551,-46.933694,15.712676,67.961165,0.613382,0.625116,0.686593,0.815413,88.349515
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,weekly_otm10_ewma09_var5,batch_years_otm10_2020_2026,full_period,51,-7.955278,3.051626,-22.673008,11.782788,52.941176,-0.114981,0.606074,0.606312,0.738528,100
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,weekly_otm10_ewma09_var5,batch_years_otm10_2020_2026,full_period,51,24.819652,2.415592,-14.920902,8.852207,64.705882,0.464385,0.574341,0.574924,0.748554,100
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,weekly_otm10_ewma09_var5,batch_years_otm10_2020_2026,full_period,102,43.147469,2.895808,-17.400623,5.643203,59.803922,0.394347,0.517332,0.532751,0.674893,100
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,weekly_otm10_ewma09_var10,batch_years_otm10_2020_2026,full_period,103,187.219277,6.478439,-46.933694,11.103069,67.961165,1.271623,0.366738,0.373185,0.630826,88.349515
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,weekly_otm10_ewma09_var10,batch_years_otm10_2020_2026,full_period,51,-39.558935,6.006806,-47.072467,32.343804,45.098039,-0.789469,0.214369,0.212625,0.477056,92.156863
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,weekly_otm10_ewma09_var10,batch_years_otm10_2020_2026,full_period,51,87.021891,4.567192,-14.14589,6.230605,64.705882,1.336441,0.172555,0.149848,0.497108,82.352941
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,weekly_otm10_ewma09_var10,batch_years_otm10_2020_2026,full_period,102,86.79887,5.564088,-29.759533,10.88635,58.823529,0.770918,0.089747,0.065503,0.349787,65.686275
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,weekly_otm10_ewma09_var15,batch_years_otm10_2020_2026,full_period,103,334.592955,7.678717,-46.933694,12.475644,66.990291,1.76478,0.142575,0.059778,0.446239,63.106796
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,weekly_otm10_ewma09_var15,batch_years_otm10_2020_2026,full_period,51,-47.056835,7.166993,-53.816561,37.297758,45.098039,-0.964323,0.020477,0,0.215583,15.686275
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,weekly_otm10_ewma09_var15,batch_years_otm10_2020_2026,full_period,51,100.324548,5.436933,-16.668947,8.058557,64.705882,1.515186,0.024059,0,0.245662,17.647059
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,weekly_otm10_ewma09_var15,batch_years_otm10_2020_2026,full_period,102,115.587392,6.00861,-29.759533,10.738939,58.823529,0.937085,0.000443,0,0.02468,1.960784
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,weekly_otm10_ewma094_var5,batch_years_otm10_2020_2026,full_period,103,42.310899,5.967394,-46.933694,17.702216,67.961165,0.553181,0.647491,0.71932,0.813553,88.349515
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,weekly_otm10_ewma094_var5,batch_years_otm10_2020_2026,full_period,51,-4.025013,2.796023,-20.213348,9.427209,52.941176,-0.04094,0.632796,0.637582,0.708693,100
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,weekly_otm10_ewma094_var5,batch_years_otm10_2020_2026,full_period,51,20.276731,2.296747,-14.210157,8.577145,64.705882,0.388694,0.596878,0.582987,0.70919,100
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,weekly_otm10_ewma094_var5,batch_years_otm10_2020_2026,full_period,102,45.725271,2.755078,-16.950085,5.190135,58.823529,0.407846,0.533832,0.540504,0.641061,100
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,weekly_otm10_ewma094_var10,batch_years_otm10_2020_2026,full_period,103,156.994534,6.302243,-46.933694,11.405949,67.961165,1.15122,0.411486,0.438639,0.627107,88.349515
