asset,tenor,moneyness_label,xOtm,source_batch_name,comparison_scope,startYear,endYear,startDate,endDate,sample_years,totalReturnPct,btcReturnPct,excessReturnVsBtcPct,cagrPct,return_vs_btc_ratio,premium_to_underlying_pnl_ratio,annualized_return_per_cycle,excess_return_per_year,option_coverage_efficiency,fallback_penalty_proxy,fallback_adjusted_return_score,cycles_per_year,premium_capture_density,underlying_capture_ratio,totalPnL,totalPnLCall,totalPnLUnderlying,totalCycles,observedOptionCoveragePct,theoreticalFallbackCoveragePct,settlementFallbackCoveragePct,maxDrawdownPct,sharpeRatio,sortinoRatio,worstCycleReturnPct,warnings
BTC,14d,atm00,0,batch_years_btc_14d_atm00_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,6.363678,374.283154,895.154558,-520.871404,27.712617,0.418121,-0.265875,1.102214,-81.850687,0.310978,26.875,273.694556,25.142693,-87.841565,1.362167,38807.126442,-14054.650379,52861.776821,160,74.375,25.625,1.25,,,,,
BTC,14d,otm03,0.03,batch_years_btc_14d_otm03_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,6.363678,464.619764,895.154558,-430.534794,31.259978,0.519039,-0.116234,1.243303,-67.655027,0.386035,26.25,342.657076,25.142693,-39.321193,1.131522,47835.379657,-6291.390845,54126.770503,160,74.375,25.625,0.625,,,,,
BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,6.363678,580.409196,895.154558,-314.745362,35.164621,0.64839,-0.039499,1.416306,-49.459663,0.484241,25.316456,433.470157,24.82841,-13.451675,1.041123,51682.912493,-2125.364589,53808.277083,158,74.683544,25.316456,0,,,,,
BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2026_2026,partial_period,2026,2026,2026-01-02,2026-05-15T08:00:00Z,0.365047,-2.13291,-10.263745,8.130834,-5.735029,0.20781,-0.764675,-0.232617,22.273403,0.18472,11.111111,-1.89592,24.654375,675.615984,4.249449,-1871.253914,6080.54386,-7951.797774,9,88.888889,11.111111,0,,,,,partial_period_excluded_from_primary_rankings
BTC,14d,otm07,0.07,batch_years_btc_14d_otm07_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,6.363678,736.58075,895.154558,-158.573808,39.625447,0.822853,-0.115475,1.595972,-24.918579,0.609328,25.949367,545.442708,24.82841,-49.460828,1.13055,59860.446039,-7814.810797,67675.256836,158,74.050633,25.949367,0,,,,,
BTC,14d,otm10,0.1,batch_years_btc_14d_otm10_2020_2026,full_period,2020,2026,2020-01-03,2026-05-15T08:00:00Z,6.363678,903.671998,895.154558,8.51744,43.678562,1.009515,0.013264,1.759217,1.338446,0.753942,25.316456,674.894274,24.82841,5.784954,0.986909,69822.035096,914.022719,68908.012378,158,74.683544,25.316456,0,,,,,
BTC,monthly,atm00,0,batch_years_btc_monthly_atm00_2020_2026,full_period,2020,2026,2020-01-03,2026-05-17T08:00:00Z,6.369154,328.950514,984.491904,-655.54139,25.687529,0.334132,-0.209914,2.152734,-102.924413,0.334132,1.315789,324.622219,11.932512,-137.804738,1.265685,39419.454324,-10473.160073,49892.614397,76,100,0,1.315789,,,,,
BTC,monthly,otm03,0.03,batch_years_btc_monthly_otm03_2020_2026,full_period,2020,2026,2020-01-03,2026-05-17T08:00:00Z,6.369154,361.907545,984.491904,-622.584359,27.156809,0.367608,-0.167267,2.275867,-97.749937,0.367608,1.315789,357.145605,11.932512,-109.369767,1.200865,41381.535298,-8312.102297,49693.637595,76,100,0,1.315789,,,,,
BTC,monthly,otm05,0.05,batch_years_btc_monthly_otm05_2020_2026,full_period,2020,2026,2020-01-03,2026-05-17T08:00:00Z,6.369154,442.452167,984.491904,-542.039737,30.406636,0.449422,-0.133284,2.548218,-85.103889,0.449422,0,442.452167,11.932512,-93.185554,1.15378,46053.476103,-7082.102132,53135.578235,76,100,0,0,,,,,
BTC,monthly,otm07,0.07,batch_years_btc_monthly_otm07_2020_2026,full_period,2020,2026,2020-01-03,2026-05-17T08:00:00Z,6.369154,464.872604,984.491904,-519.6193,31.238511,0.472195,-0.088327,2.617933,-81.583729,0.472195,0,464.872604,11.932512,-61.937866,1.096884,48586.665458,-4707.277802,53293.94326,76,100,0,0,,,,,
