ranking_type,rank,Tenor,Moneyness,metric,value,Return,BTC Return,Excess Return,Drawdown,Volatility,Sharpe,Cycles,Positive Excess Years 2020-2025,source_batch_name
absolute_return,1,Weekly,OTM10,Return,1109.021386,1109.021386,847.483816,261.53757,-58.394092,7.228106,1.037611,325,3,batch_years_otm10_2020_2026
absolute_return,2,Weekly,OTM05,Return,1063.935479,1063.935479,847.483816,216.451663,-51.150992,6.342403,1.103871,325,3,batch_years_otm05_2020_2026
absolute_return,3,Weekly,OTM03,Return,993.852091,993.852091,847.483816,146.368275,-43.065651,5.805039,1.139046,325,3,batch_years_otm03_2020_2026
absolute_return,4,14d,OTM10,Return,903.671998,903.671998,895.154558,8.51744,-45.877646,9.041541,1.04948,158,2,batch_years_btc_14d_otm10_2020_2026
absolute_return,5,Weekly,OTM07,Return,819.216356,819.216356,847.483816,-28.267459,-52.141662,6.643558,0.995805,325,3,batch_years_otm07_2020_2026
absolute_return,6,14d,OTM07,Return,736.58075,736.58075,895.154558,-158.573808,-45.935641,8.634595,1.01219,158,2,batch_years_btc_14d_otm07_2020_2026
absolute_return,7,Weekly,ATM00,Return,607.385304,607.385304,847.483816,-240.098512,-41.168513,5.016499,1.062649,325,3,batch_years_atm00_2020_2026
absolute_return,8,14d,OTM05,Return,580.409196,580.409196,895.154558,-314.745362,-44.798068,8.262575,0.959104,158,2,batch_years_btc_14d_otm05_2020_2026
absolute_return,9,Monthly,OTM10,Return,562.722051,562.722051,984.491904,-421.769853,-56.811391,11.810353,0.947615,76,2,batch_years_btc_monthly_otm10_2020_2026
absolute_return,10,Monthly,OTM07,Return,464.872604,464.872604,984.491904,-519.6193,-52.438931,10.720582,0.935362,76,2,batch_years_btc_monthly_otm07_2020_2026
absolute_return,11,14d,OTM03,Return,464.619764,464.619764,895.154558,-430.534794,-41.973546,7.480146,0.935687,160,3,batch_years_btc_14d_otm03_2020_2026
absolute_return,12,Monthly,OTM05,Return,442.452167,442.452167,984.491904,-542.039737,-51.161632,10.131708,0.949268,76,2,batch_years_btc_monthly_otm05_2020_2026
absolute_return,13,14d,ATM00,Return,374.283154,374.283154,895.154558,-520.871404,-40.75701,6.692004,0.919593,160,3,batch_years_btc_14d_atm00_2020_2026
absolute_return,14,Weekly,ITM05,Return,370.42429,370.42429,847.483816,-477.059526,-39.836452,3.959565,1.026942,325,2,batch_years_itm05_2020_2026
absolute_return,15,Monthly,OTM03,Return,361.907545,361.907545,984.491904,-622.584359,-47.568723,9.489374,0.911952,76,2,batch_years_btc_monthly_otm03_2020_2026
absolute_return,16,Monthly,ATM00,Return,328.950514,328.950514,984.491904,-655.54139,-44.977929,8.374187,0.950669,76,2,batch_years_btc_monthly_atm00_2020_2026
excess_return_vs_btc,1,Weekly,OTM10,Excess Return,261.53757,1109.021386,847.483816,261.53757,-58.394092,7.228106,1.037611,325,3,batch_years_otm10_2020_2026
excess_return_vs_btc,2,Weekly,OTM05,Excess Return,216.451663,1063.935479,847.483816,216.451663,-51.150992,6.342403,1.103871,325,3,batch_years_otm05_2020_2026
excess_return_vs_btc,3,Weekly,OTM03,Excess Return,146.368275,993.852091,847.483816,146.368275,-43.065651,5.805039,1.139046,325,3,batch_years_otm03_2020_2026
excess_return_vs_btc,4,14d,OTM10,Excess Return,8.51744,903.671998,895.154558,8.51744,-45.877646,9.041541,1.04948,158,2,batch_years_btc_14d_otm10_2020_2026
excess_return_vs_btc,5,Weekly,OTM07,Excess Return,-28.267459,819.216356,847.483816,-28.267459,-52.141662,6.643558,0.995805,325,3,batch_years_otm07_2020_2026
excess_return_vs_btc,6,14d,OTM07,Excess Return,-158.573808,736.58075,895.154558,-158.573808,-45.935641,8.634595,1.01219,158,2,batch_years_btc_14d_otm07_2020_2026
excess_return_vs_btc,7,Weekly,ATM00,Excess Return,-240.098512,607.385304,847.483816,-240.098512,-41.168513,5.016499,1.062649,325,3,batch_years_atm00_2020_2026
excess_return_vs_btc,8,14d,OTM05,Excess Return,-314.745362,580.409196,895.154558,-314.745362,-44.798068,8.262575,0.959104,158,2,batch_years_btc_14d_otm05_2020_2026
excess_return_vs_btc,9,Monthly,OTM10,Excess Return,-421.769853,562.722051,984.491904,-421.769853,-56.811391,11.810353,0.947615,76,2,batch_years_btc_monthly_otm10_2020_2026
excess_return_vs_btc,10,14d,OTM03,Excess Return,-430.534794,464.619764,895.154558,-430.534794,-41.973546,7.480146,0.935687,160,3,batch_years_btc_14d_otm03_2020_2026
excess_return_vs_btc,11,Weekly,ITM05,Excess Return,-477.059526,370.42429,847.483816,-477.059526,-39.836452,3.959565,1.026942,325,2,batch_years_itm05_2020_2026
excess_return_vs_btc,12,Monthly,OTM07,Excess Return,-519.6193,464.872604,984.491904,-519.6193,-52.438931,10.720582,0.935362,76,2,batch_years_btc_monthly_otm07_2020_2026
excess_return_vs_btc,13,14d,ATM00,Excess Return,-520.871404,374.283154,895.154558,-520.871404,-40.75701,6.692004,0.919593,160,3,batch_years_btc_14d_atm00_2020_2026
excess_return_vs_btc,14,Monthly,OTM05,Excess Return,-542.039737,442.452167,984.491904,-542.039737,-51.161632,10.131708,0.949268,76,2,batch_years_btc_monthly_otm05_2020_2026
excess_return_vs_btc,15,Monthly,OTM03,Excess Return,-622.584359,361.907545,984.491904,-622.584359,-47.568723,9.489374,0.911952,76,2,batch_years_btc_monthly_otm03_2020_2026
excess_return_vs_btc,16,Monthly,ATM00,Excess Return,-655.54139,328.950514,984.491904,-655.54139,-44.977929,8.374187,0.950669,76,2,batch_years_btc_monthly_atm00_2020_2026
drawdown,1,Weekly,ITM05,Drawdown,-39.836452,370.42429,847.483816,-477.059526,-39.836452,3.959565,1.026942,325,2,batch_years_itm05_2020_2026
drawdown,2,14d,ATM00,Drawdown,-40.75701,374.283154,895.154558,-520.871404,-40.75701,6.692004,0.919593,160,3,batch_years_btc_14d_atm00_2020_2026
drawdown,3,Weekly,ATM00,Drawdown,-41.168513,607.385304,847.483816,-240.098512,-41.168513,5.016499,1.062649,325,3,batch_years_atm00_2020_2026
drawdown,4,14d,OTM03,Drawdown,-41.973546,464.619764,895.154558,-430.534794,-41.973546,7.480146,0.935687,160,3,batch_years_btc_14d_otm03_2020_2026
drawdown,5,Weekly,OTM03,Drawdown,-43.065651,993.852091,847.483816,146.368275,-43.065651,5.805039,1.139046,325,3,batch_years_otm03_2020_2026
drawdown,6,14d,OTM05,Drawdown,-44.798068,580.409196,895.154558,-314.745362,-44.798068,8.262575,0.959104,158,2,batch_years_btc_14d_otm05_2020_2026
drawdown,7,Monthly,ATM00,Drawdown,-44.977929,328.950514,984.491904,-655.54139,-44.977929,8.374187,0.950669,76,2,batch_years_btc_monthly_atm00_2020_2026
drawdown,8,14d,OTM10,Drawdown,-45.877646,903.671998,895.154558,8.51744,-45.877646,9.041541,1.04948,158,2,batch_years_btc_14d_otm10_2020_2026
drawdown,9,14d,OTM07,Drawdown,-45.935641,736.58075,895.154558,-158.573808,-45.935641,8.634595,1.01219,158,2,batch_years_btc_14d_otm07_2020_2026
drawdown,10,Monthly,OTM03,Drawdown,-47.568723,361.907545,984.491904,-622.584359,-47.568723,9.489374,0.911952,76,2,batch_years_btc_monthly_otm03_2020_2026
drawdown,11,Weekly,OTM05,Drawdown,-51.150992,1063.935479,847.483816,216.451663,-51.150992,6.342403,1.103871,325,3,batch_years_otm05_2020_2026
drawdown,12,Monthly,OTM05,Drawdown,-51.161632,442.452167,984.491904,-542.039737,-51.161632,10.131708,0.949268,76,2,batch_years_btc_monthly_otm05_2020_2026
drawdown,13,Weekly,OTM07,Drawdown,-52.141662,819.216356,847.483816,-28.267459,-52.141662,6.643558,0.995805,325,3,batch_years_otm07_2020_2026
drawdown,14,Monthly,OTM07,Drawdown,-52.438931,464.872604,984.491904,-519.6193,-52.438931,10.720582,0.935362,76,2,batch_years_btc_monthly_otm07_2020_2026
drawdown,15,Monthly,OTM10,Drawdown,-56.811391,562.722051,984.491904,-421.769853,-56.811391,11.810353,0.947615,76,2,batch_years_btc_monthly_otm10_2020_2026
drawdown,16,Weekly,OTM10,Drawdown,-58.394092,1109.021386,847.483816,261.53757,-58.394092,7.228106,1.037611,325,3,batch_years_otm10_2020_2026
risk_adjusted_per_cycle,1,Weekly,OTM03,Sharpe,1.139046,993.852091,847.483816,146.368275,-43.065651,5.805039,1.139046,325,3,batch_years_otm03_2020_2026
risk_adjusted_per_cycle,2,Weekly,OTM05,Sharpe,1.103871,1063.935479,847.483816,216.451663,-51.150992,6.342403,1.103871,325,3,batch_years_otm05_2020_2026
risk_adjusted_per_cycle,3,Weekly,ATM00,Sharpe,1.062649,607.385304,847.483816,-240.098512,-41.168513,5.016499,1.062649,325,3,batch_years_atm00_2020_2026
risk_adjusted_per_cycle,4,14d,OTM10,Sharpe,1.04948,903.671998,895.154558,8.51744,-45.877646,9.041541,1.04948,158,2,batch_years_btc_14d_otm10_2020_2026
risk_adjusted_per_cycle,5,Weekly,OTM10,Sharpe,1.037611,1109.021386,847.483816,261.53757,-58.394092,7.228106,1.037611,325,3,batch_years_otm10_2020_2026
risk_adjusted_per_cycle,6,Weekly,ITM05,Sharpe,1.026942,370.42429,847.483816,-477.059526,-39.836452,3.959565,1.026942,325,2,batch_years_itm05_2020_2026
risk_adjusted_per_cycle,7,14d,OTM07,Sharpe,1.01219,736.58075,895.154558,-158.573808,-45.935641,8.634595,1.01219,158,2,batch_years_btc_14d_otm07_2020_2026
risk_adjusted_per_cycle,8,Weekly,OTM07,Sharpe,0.995805,819.216356,847.483816,-28.267459,-52.141662,6.643558,0.995805,325,3,batch_years_otm07_2020_2026
risk_adjusted_per_cycle,9,14d,OTM05,Sharpe,0.959104,580.409196,895.154558,-314.745362,-44.798068,8.262575,0.959104,158,2,batch_years_btc_14d_otm05_2020_2026
risk_adjusted_per_cycle,10,Monthly,ATM00,Sharpe,0.950669,328.950514,984.491904,-655.54139,-44.977929,8.374187,0.950669,76,2,batch_years_btc_monthly_atm00_2020_2026
risk_adjusted_per_cycle,11,Monthly,OTM05,Sharpe,0.949268,442.452167,984.491904,-542.039737,-51.161632,10.131708,0.949268,76,2,batch_years_btc_monthly_otm05_2020_2026
risk_adjusted_per_cycle,12,Monthly,OTM10,Sharpe,0.947615,562.722051,984.491904,-421.769853,-56.811391,11.810353,0.947615,76,2,batch_years_btc_monthly_otm10_2020_2026
risk_adjusted_per_cycle,13,14d,OTM03,Sharpe,0.935687,464.619764,895.154558,-430.534794,-41.973546,7.480146,0.935687,160,3,batch_years_btc_14d_otm03_2020_2026
risk_adjusted_per_cycle,14,Monthly,OTM07,Sharpe,0.935362,464.872604,984.491904,-519.6193,-52.438931,10.720582,0.935362,76,2,batch_years_btc_monthly_otm07_2020_2026
risk_adjusted_per_cycle,15,14d,ATM00,Sharpe,0.919593,374.283154,895.154558,-520.871404,-40.75701,6.692004,0.919593,160,3,batch_years_btc_14d_atm00_2020_2026
risk_adjusted_per_cycle,16,Monthly,OTM03,Sharpe,0.911952,361.907545,984.491904,-622.584359,-47.568723,9.489374,0.911952,76,2,batch_years_btc_monthly_otm03_2020_2026
consistency_across_years,1,14d,ATM00,Positive Excess Years 2020-2025,3,374.283154,895.154558,-520.871404,-40.75701,6.692004,0.919593,160,3,batch_years_btc_14d_atm00_2020_2026
consistency_across_years,2,14d,OTM03,Positive Excess Years 2020-2025,3,464.619764,895.154558,-430.534794,-41.973546,7.480146,0.935687,160,3,batch_years_btc_14d_otm03_2020_2026
consistency_across_years,3,Weekly,ATM00,Positive Excess Years 2020-2025,3,607.385304,847.483816,-240.098512,-41.168513,5.016499,1.062649,325,3,batch_years_atm00_2020_2026
consistency_across_years,4,Weekly,OTM03,Positive Excess Years 2020-2025,3,993.852091,847.483816,146.368275,-43.065651,5.805039,1.139046,325,3,batch_years_otm03_2020_2026
consistency_across_years,5,Weekly,OTM05,Positive Excess Years 2020-2025,3,1063.935479,847.483816,216.451663,-51.150992,6.342403,1.103871,325,3,batch_years_otm05_2020_2026
consistency_across_years,6,Weekly,OTM07,Positive Excess Years 2020-2025,3,819.216356,847.483816,-28.267459,-52.141662,6.643558,0.995805,325,3,batch_years_otm07_2020_2026
consistency_across_years,7,Weekly,OTM10,Positive Excess Years 2020-2025,3,1109.021386,847.483816,261.53757,-58.394092,7.228106,1.037611,325,3,batch_years_otm10_2020_2026
consistency_across_years,8,14d,OTM05,Positive Excess Years 2020-2025,2,580.409196,895.154558,-314.745362,-44.798068,8.262575,0.959104,158,2,batch_years_btc_14d_otm05_2020_2026
consistency_across_years,9,14d,OTM07,Positive Excess Years 2020-2025,2,736.58075,895.154558,-158.573808,-45.935641,8.634595,1.01219,158,2,batch_years_btc_14d_otm07_2020_2026
consistency_across_years,10,14d,OTM10,Positive Excess Years 2020-2025,2,903.671998,895.154558,8.51744,-45.877646,9.041541,1.04948,158,2,batch_years_btc_14d_otm10_2020_2026
consistency_across_years,11,Monthly,ATM00,Positive Excess Years 2020-2025,2,328.950514,984.491904,-655.54139,-44.977929,8.374187,0.950669,76,2,batch_years_btc_monthly_atm00_2020_2026
consistency_across_years,12,Monthly,OTM03,Positive Excess Years 2020-2025,2,361.907545,984.491904,-622.584359,-47.568723,9.489374,0.911952,76,2,batch_years_btc_monthly_otm03_2020_2026
consistency_across_years,13,Monthly,OTM05,Positive Excess Years 2020-2025,2,442.452167,984.491904,-542.039737,-51.161632,10.131708,0.949268,76,2,batch_years_btc_monthly_otm05_2020_2026
consistency_across_years,14,Monthly,OTM07,Positive Excess Years 2020-2025,2,464.872604,984.491904,-519.6193,-52.438931,10.720582,0.935362,76,2,batch_years_btc_monthly_otm07_2020_2026
consistency_across_years,15,Monthly,OTM10,Positive Excess Years 2020-2025,2,562.722051,984.491904,-421.769853,-56.811391,11.810353,0.947615,76,2,batch_years_btc_monthly_otm10_2020_2026
consistency_across_years,16,Weekly,ITM05,Positive Excess Years 2020-2025,2,370.42429,847.483816,-477.059526,-39.836452,3.959565,1.026942,325,2,batch_years_itm05_2020_2026
