asset,tenor,moneyness_label,xOtm,source_batch_name,startYear,endYear,startDate,endDate,runReturnPct,totalReturnPct,btcReturnPct,excessReturnVsBtcPct,cagrPct,annualizedVolatilityOfReturns,totalPnL,totalPnLCall,totalPnLUnderlying,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,observedOptionCoveragePct,theoreticalFallbackCoveragePct,settlementFallbackCoveragePct,maxDrawdownPct,sharpeRatio,sortinoRatio,worstCycleReturnPct,source_summary_path
BTC,14d,atm00,0,batch_years_btc_14d_atm00_2020_2026,2020,2026,2020-01-03,2026-05-15T08:00:00Z,374.283154,374.283154,895.154558,-520.871404,27.712617,,38807.126442,-14054.650379,52861.776821,160,160,119,41,41,2,74.375,25.625,1.25,,,,,runs\batches\batch_years_btc_14d_atm00_2020_2026\summary.json
BTC,14d,otm03,0.03,batch_years_btc_14d_otm03_2020_2026,2020,2026,2020-01-03,2026-05-15T08:00:00Z,464.619764,464.619764,895.154558,-430.534794,31.259978,,47835.379657,-6291.390845,54126.770503,160,160,119,41,41,1,74.375,25.625,0.625,,,,,runs\batches\batch_years_btc_14d_otm03_2020_2026\summary.json
BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2020_2026,2020,2026,2020-01-03,2026-05-15T08:00:00Z,580.409196,580.409196,895.154558,-314.745362,35.164621,,51682.912493,-2125.364589,53808.277083,158,158,118,40,40,0,74.683544,25.316456,0,,,,,runs\batches\batch_years_btc_14d_otm05_2020_2026\summary.json
BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2026_2026,2026,2026,2026-01-02,2026-05-15T08:00:00Z,-2.13291,-2.13291,-10.263745,8.130834,-5.735029,,-1871.253914,6080.54386,-7951.797774,9,9,8,1,1,0,88.888889,11.111111,0,,,,,runs\batches\batch_years_btc_14d_otm05_2026_2026\summary.json
BTC,14d,otm07,0.07,batch_years_btc_14d_otm07_2020_2026,2020,2026,2020-01-03,2026-05-15T08:00:00Z,736.58075,736.58075,895.154558,-158.573808,39.625447,,59860.446039,-7814.810797,67675.256836,158,158,117,41,41,0,74.050633,25.949367,0,,,,,runs\batches\batch_years_btc_14d_otm07_2020_2026\summary.json
BTC,14d,otm10,0.1,batch_years_btc_14d_otm10_2020_2026,2020,2026,2020-01-03,2026-05-15T08:00:00Z,903.671998,903.671998,895.154558,8.51744,43.678562,,69822.035096,914.022719,68908.012378,158,158,118,40,40,0,74.683544,25.316456,0,,,,,runs\batches\batch_years_btc_14d_otm10_2020_2026\summary.json
BTC,monthly,atm00,0,batch_years_btc_monthly_atm00_2020_2026,2020,2026,2020-01-03,2026-05-17T08:00:00Z,328.950514,328.950514,984.491904,-655.54139,25.687529,,39419.454324,-10473.160073,49892.614397,76,76,76,0,0,1,100,0,1.315789,,,,,runs\batches\batch_years_btc_monthly_atm00_2020_2026\summary.json
BTC,monthly,otm03,0.03,batch_years_btc_monthly_otm03_2020_2026,2020,2026,2020-01-03,2026-05-17T08:00:00Z,361.907545,361.907545,984.491904,-622.584359,27.156809,,41381.535298,-8312.102297,49693.637595,76,76,76,0,0,1,100,0,1.315789,,,,,runs\batches\batch_years_btc_monthly_otm03_2020_2026\summary.json
BTC,monthly,otm05,0.05,batch_years_btc_monthly_otm05_2020_2026,2020,2026,2020-01-03,2026-05-17T08:00:00Z,442.452167,442.452167,984.491904,-542.039737,30.406636,,46053.476103,-7082.102132,53135.578235,76,76,76,0,0,0,100,0,0,,,,,runs\batches\batch_years_btc_monthly_otm05_2020_2026\summary.json
BTC,monthly,otm07,0.07,batch_years_btc_monthly_otm07_2020_2026,2020,2026,2020-01-03,2026-05-17T08:00:00Z,464.872604,464.872604,984.491904,-519.6193,31.238511,,48586.665458,-4707.277802,53293.94326,76,76,76,0,0,0,100,0,0,,,,,runs\batches\batch_years_btc_monthly_otm07_2020_2026\summary.json
