Tenor,Moneyness,Return,BTC Return,Excess Return,Drawdown,Volatility,Sharpe,Cycles,CAGR,Cycle Mean Return,Positive Return Years 2020-2025,Positive Excess Years 2020-2025,Worst Annual Return 2020-2025,Partial 2026 Return,Partial 2026 BTC Return,source_batch_name,observedOptionCoveragePct,theoreticalFallbackCoveragePct,settlementFallbackCoveragePct,severeLossFrequencyPct,p05CycleReturnPct,p95CycleReturnPct
14d,ATM00,374.283154,895.154558,-520.871404,-40.75701,6.692004,0.919593,160,27.712617,1.227286,5,3,-6.848775,-8.002511,-10.263745,batch_years_btc_14d_atm00_2020_2026,74.375,25.625,1.25,5,-12.14705,7.252665
14d,OTM03,464.619764,895.154558,-430.534794,-41.973546,7.480146,0.935687,160,31.259978,1.395837,4,3,-13.276541,-4.022405,-10.263745,batch_years_btc_14d_otm03_2020_2026,74.375,25.625,0.625,5,-13.460726,8.539369
14d,OTM05,580.409196,895.154558,-314.745362,-44.798068,8.262575,0.959104,158,35.164621,1.590401,5,2,-20.529138,-2.13291,-10.263745,batch_years_btc_14d_otm05_2020_2026,74.683544,25.316456,0,5.063291,-14.153417,10.551949
14d,OTM07,736.58075,895.154558,-158.573808,-45.935641,8.634595,1.01219,158,39.625447,1.754,5,2,-26.59747,-2.990938,-10.263745,batch_years_btc_14d_otm07_2020_2026,74.050633,25.949367,0,5.063291,-14.719821,11.530739
14d,OTM10,903.671998,895.154558,8.51744,-45.877646,9.041541,1.04948,158,43.678562,1.904329,5,2,-21.797036,-4.722431,-10.263745,batch_years_btc_14d_otm10_2020_2026,74.683544,25.316456,0,5.063291,-14.798693,12.864981
Monthly,ATM00,328.950514,984.491904,-655.54139,-44.977929,8.374187,0.950669,76,25.687529,2.304655,5,2,-36.208078,-3.842426,-12.169617,batch_years_btc_monthly_atm00_2020_2026,100,0,1.315789,5.263158,-17.186504,12.315782
Monthly,OTM03,361.907545,984.491904,-622.584359,-47.568723,9.489374,0.911952,76,27.156809,2.505207,5,2,-38.756621,-7.126226,-12.169617,batch_years_btc_monthly_otm03_2020_2026,100,0,1.315789,5.263158,-17.536504,12.681624
Monthly,OTM05,442.452167,984.491904,-542.039737,-51.161632,10.131708,0.949268,76,30.406636,2.784232,5,2,-42.953388,-7.95258,-12.169617,batch_years_btc_monthly_otm05_2020_2026,100,0,0,5.263158,-17.851495,14.274827
Monthly,OTM07,464.872604,984.491904,-519.6193,-52.438931,10.720582,0.935362,76,31.238511,2.9029,5,2,-45.623812,-8.941161,-12.169617,batch_years_btc_monthly_otm07_2020_2026,100,0,0,5.263158,-17.988995,15.302022
Monthly,OTM10,562.722051,984.491904,-421.769853,-56.811391,11.810353,0.947615,76,34.571956,3.23988,5,2,-49.138545,-9.020783,-12.169617,batch_years_btc_monthly_otm10_2020_2026,100,0,1.315789,5.263158,-20.624004,16.829624
Weekly,ITM05,370.42429,847.483816,-477.059526,-39.836452,3.959565,1.026942,325,27.642555,0.568134,5,2,-8.267618,1.777762,-10.263745,batch_years_itm05_2020_2026,72,28,0.615385,2.461538,-4.882066,4.19189
Weekly,ATM00,607.385304,847.483816,-240.098512,-41.168513,5.016499,1.062649,325,36.119336,0.744814,5,3,-10.538997,-1.711908,-10.263745,batch_years_atm00_2020_2026,72,28,0.307692,3.692308,-7.591047,5.554546
Weekly,OTM03,993.852091,847.483816,146.368275,-43.065651,5.805039,1.139046,325,45.799835,0.923855,5,3,-18.677614,1.627512,-10.263745,batch_years_otm03_2020_2026,72,28,0.307692,4.307692,-9.203948,6.689461
Weekly,OTM05,1063.935479,847.483816,216.451663,-51.150992,6.342403,1.103871,325,47.233962,0.978204,5,3,-33.72111,0.918299,-10.263745,batch_years_otm05_2020_2026,72,28,0.307692,4.307692,-9.307449,8.185777
Weekly,OTM07,819.216356,847.483816,-28.267459,-52.141662,6.643558,0.995805,325,41.856926,0.924342,5,3,-39.264115,-2.028264,-10.263745,batch_years_otm07_2020_2026,72,28,0,4.923077,-9.785149,8.975491
Weekly,OTM10,1109.021386,847.483816,261.53757,-58.394092,7.228106,1.037611,325,48.118556,1.047892,5,3,-46.557643,-6.707431,-10.263745,batch_years_otm10_2020_2026,72,28,0.923077,5.230769,-10.107217,11.399534
