row_type,asset,tenor,moneyness_label,xOtm,source_batch_name,comparison_scope,windowCycles,rollingWindowCount,averageWindowReturnPct,stdevWindowReturnPct,positiveWindowPct,negativeWindowPct,averageRollingVolatilityPct,stdevRollingVolatilityPct,p90RollingVolatilityPct,maxRollingVolatilityPct,volatilitySpikeThresholdPct,volatilitySpikeCount,volatilitySpikeBearPct,longestElevatedVolatilityRun,averageRollingDrawdownPct,stdevRollingDrawdownPct,worstRollingDrawdownPct,severeDrawdownWindowPct,longestDrawdownRun,longestSevereDrawdownRun,averageRegimeReturnSpreadPct,bestRegime,worstRegime,notes
configuration,BTC,14d,atm00,0,batch_years_btc_14d_atm00_2020_2026,full_period,26,135,42.721165,35.710177,89.62963,10.37037,5.934006,1.853863,8.330436,9.045727,8.330436,14,64.285714,23,-23.402378,10.835484,-40.75701,52.592593,135,54,56.493103,bull_2020_2021,bear_2022,
configuration,BTC,14d,otm03,0.03,batch_years_btc_14d_otm03_2020_2026,full_period,26,135,47.131412,42.516736,81.481481,18.518519,6.846144,1.780335,9.031825,9.472263,9.031825,14,64.285714,23,-25.657772,11.154887,-41.973546,52.592593,135,54,81.623584,bull_2020_2021,bear_2022,
configuration,BTC,14d,otm05,0.05,batch_years_btc_14d_otm05_2020_2026,full_period,26,133,50.582199,56.80287,78.195489,21.804511,7.504841,1.794083,9.558368,10.690907,9.558368,14,57.142857,13,-27.069722,11.631799,-44.798068,79.699248,133,54,128.840605,bull_2020_2021,bear_2022,
configuration,BTC,14d,otm07,0.07,batch_years_btc_14d_otm07_2020_2026,full_period,26,133,59.73957,64.704041,77.443609,22.556391,7.912497,1.750823,9.894596,11.209802,9.894596,14,21.428571,19,-27.75936,11.510848,-45.935641,79.699248,133,54,145.087191,bull_2020_2021,bear_2022,
configuration,BTC,14d,otm10,0.1,batch_years_btc_14d_otm10_2020_2026,full_period,26,133,65.640597,64.89983,84.210526,15.789474,8.333386,1.512537,10.555182,11.899277,10.555182,14,14.285714,26,-26.626747,9.100739,-45.877646,81.203008,133,56,141.470807,bull_2020_2021,bear_2022,
configuration,BTC,monthly,atm00,0,batch_years_btc_monthly_atm00_2020_2026,full_period,12,65,33.463724,41.062599,83.076923,16.923077,7.803012,2.58853,11.16873,11.819001,11.16873,7,100,17,-19.704811,12.406605,-44.977929,43.076923,60,25,105.951276,bull_2020_2021,bear_2022,
configuration,BTC,monthly,otm03,0.03,batch_years_btc_monthly_otm03_2020_2026,full_period,12,65,39.505821,48.352562,80,20,9.035465,2.625841,12.428932,13.178074,12.428932,7,85.714286,11,-21.731453,12.531691,-47.568723,43.076923,65,25,122.688926,bull_2020_2021,bear_2022,
configuration,BTC,monthly,otm05,0.05,batch_years_btc_monthly_otm05_2020_2026,full_period,12,65,44.102836,54.925718,76.923077,23.076923,9.594562,2.441358,12.603425,13.63195,12.603425,7,85.714286,17,-22.811651,13.146256,-51.161632,61.538462,65,25,139.387005,bull_2020_2021,bear_2022,
configuration,BTC,monthly,otm07,0.07,batch_years_btc_monthly_otm07_2020_2026,full_period,12,65,45.912629,55.149206,76.923077,23.076923,10.279517,2.608532,13.661171,14.644947,13.661171,7,100,17,-23.971157,13.653729,-52.438931,61.538462,65,25,135.589283,bull_2020_2021,bear_2022,
configuration,BTC,monthly,otm10,0.1,batch_years_btc_monthly_otm10_2020_2026,full_period,12,65,55.787758,71.217211,73.846154,26.153846,11.310347,2.559484,14.576136,15.900319,14.576136,7,85.714286,6,-25.548837,14.279694,-56.811391,69.230769,65,27,179.077893,bull_2020_2021,bear_2022,
