strategy,horizon,confidencePct,observations,returnVaRPct,lossVaRPct,expectedShortfallReturnPct,expectedShortfallLossPct
Weekly OTM03,weekly,95,325,-9.203948,9.203948,-16.064205,16.064205
Weekly OTM03,monthly_approx,95,81,-19.011936,19.011936,-24.671615,24.671615
Weekly OTM05,weekly,95,325,-9.307449,9.307449,-16.735581,16.735581
Weekly OTM05,monthly_approx,95,81,-20.712895,20.712895,-24.054296,24.054296
Weekly OTM10,weekly,95,325,-10.107217,10.107217,-17.407759,17.407759
Weekly OTM10,monthly_approx,95,81,-22.978195,22.978195,-26.616497,26.616497
BTC Buy & Hold,weekly,95,325,-10.407569,10.407569,-18.279198,18.279198
BTC Buy & Hold,monthly_approx,95,81,-24.068538,24.068538,-29.316887,29.316887
14d OTM10,cycle_14d,95,158,-14.798693,14.798693,-21.779462,21.779462
14d OTM10,monthly_approx,95,79,-22.550418,22.550418,-26.343748,26.343748
