strategy,year,cycles,returnPct,btcReturnPct,excessReturnPct,volatilityPct,sharpe,maxDrawdownPct,positiveCyclePct
Weekly OTM03,2020,51,113.909483,229.135391,-115.225908,7.279259,1.802035,-41.168513,72.54902
Weekly OTM03,2021,52,104.447568,61.663783,42.783786,7.212711,1.654587,-33.435228,71.153846
Weekly OTM03,2022,51,-18.677614,-60.517167,41.839553,6.347813,-0.21154,-41.194954,52.941176
Weekly OTM03,2023,51,67.277888,152.299946,-85.022059,3.889981,2.019826,-14.101092,70.588235
Weekly OTM03,2024,51,72.884783,116.835623,-43.95084,4.127717,2.033336,-19.419089,62.745098
Weekly OTM03,2025,51,4.647752,-8.132809,12.78056,4.81613,0.314429,-27.452519,64.705882
Weekly OTM03,2026,18,1.627512,-10.263745,11.891257,6.248571,0.338639,-30.24866,72.222222
Weekly OTM03,STABILITY_2020_2025,307,57.414977,81.880794,-24.465818,53.506538,1.268779,-41.194954,83.333333
Weekly OTM05,2020,51,150.98042,229.135391,-78.15497,8.071161,1.97569,-45.726071,68.627451
Weekly OTM05,2021,52,110.003621,61.663783,48.339839,7.692644,1.633781,-34.675435,69.230769
Weekly OTM05,2022,51,-33.72111,-60.517167,26.796057,6.765126,-0.592398,-46.333983,47.058824
Weekly OTM05,2023,51,70.811753,152.299946,-81.488193,4.325214,1.914564,-14.383725,66.666667
Weekly OTM05,2024,51,91.068046,116.835623,-25.767578,4.855301,2.070377,-20.948023,58.823529
Weekly OTM05,2025,51,1.160582,-8.132809,9.293391,5.183185,0.225042,-27.70594,64.705882
Weekly OTM05,2026,18,0.918299,-10.263745,11.182044,6.558325,0.301923,-31.199534,66.666667
Weekly OTM05,STABILITY_2020_2025,307,65.050552,81.880794,-16.830242,69.21357,1.204509,-46.333983,83.333333
Weekly OTM10,2020,51,190.103482,229.135391,-39.031908,9.001358,2.063253,-46.933694,66.666667
Weekly OTM10,2021,52,89.813599,61.663783,28.149816,8.71315,1.345785,-36.970844,65.384615
Weekly OTM10,2022,51,-46.557643,-60.517167,13.959524,7.285447,-0.928867,-53.391193,45.098039
Weekly OTM10,2023,51,103.641581,152.299946,-48.658365,5.597382,2.005062,-17.642609,64.705882
Weekly OTM10,2024,51,112.796089,116.835623,-4.039535,6.058502,1.988034,-22.814133,56.862745
Weekly OTM10,2025,51,1.622753,-8.132809,9.755562,5.93592,0.255608,-29.759533,60.784314
Weekly OTM10,2026,18,-6.707431,-10.263745,3.556313,6.662789,-0.166606,-32.116945,61.111111
Weekly OTM10,STABILITY_2020_2025,307,75.236643,81.880794,-6.644151,84.708068,1.121479,-53.391193,83.333333
BTC Buy & Hold,2020,51,229.135391,229.135391,0,10.467225,2.035343,-48.189621,60.784314
BTC Buy & Hold,2021,52,61.663783,61.663783,0,11.437908,0.979571,-48.267166,57.692308
BTC Buy & Hold,2022,51,-60.517167,-60.517167,0,7.373619,-1.482796,-63.445327,43.137255
BTC Buy & Hold,2023,51,152.299946,152.299946,0,7.540398,1.999431,-17.092906,62.745098
BTC Buy & Hold,2024,51,116.835623,116.835623,0,7.021195,1.811364,-23.548857,54.901961
BTC Buy & Hold,2025,51,-8.132809,-8.132809,0,6.00335,0.020087,-30.680287,60.784314
BTC Buy & Hold,2026,18,-10.263745,-10.263745,0,6.633823,-0.402809,-32.33706,55.555556
BTC Buy & Hold,STABILITY_2020_2025,307,81.880794,81.880794,0,106.445262,0.893833,-63.445327,66.666667
