date,snapshot_time_ny,snapshot_time_utc,snapshot_timestamp,cycle_id,instrument_name,underlying_price,option_price_proxy,option_price_proxy_underlying,option_price_proxy_source,approximate_CCW_value,daily_return,daily_return_pct,rolling_peak,rolling_drawdown,rolling_drawdown_pct,EWMA_vol,EWMA_vol_pct,historical_VaR,historical_VaR_pct,underlying_price_found,option_price_found,notes
2020-01-03,10:00,15:00,1578063600000,1,BTC-10JAN20-8000-C,7254.5,18.13625,0.0025,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7236.36375,,,7236.36375,0,0,,,,,true,true,
2020-01-04,10:00,15:00,1578150000000,1,BTC-10JAN20-8000-C,7310,21.93,0.003,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7288.07,0.007145,0.714534,7288.07,0,0,0.007145,0.714534,,,true,true,
2020-01-05,10:00,15:00,1578236400000,1,BTC-10JAN20-8000-C,7435,29.74,0.004,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7405.26,0.01608,1.60797,7405.26,0,0,0.007969,0.796906,,,true,true,
2020-01-06,10:00,15:00,1578322800000,1,BTC-10JAN20-8000-C,7540,33.93,0.0045,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7506.07,0.013613,1.36133,7506.07,0,0,0.008415,0.841516,,,true,true,
2020-01-07,10:00,15:00,1578409200000,1,BTC-10JAN20-8000-C,7851,98.1375,0.0125,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7752.8625,0.032879,3.287906,7752.8625,0,0,0.011464,1.14642,,,true,true,
2020-01-08,10:00,15:00,1578495600000,1,BTC-10JAN20-8000-C,8311.5,349.083,0.042,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7962.417,0.027029,2.702931,7962.417,0,0,0.012937,1.293744,,,true,true,
2020-01-09,10:00,15:00,1578582000000,1,BTC-10JAN20-8000-C,7885.5,39.4275,0.005,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7846.0725,-0.014612,-1.461171,7962.417,-0.014612,-1.461171,0.013044,1.304395,,,true,true,
2020-01-10,10:00,15:00,1578668400000,2,BTC-17JAN20-8000-C,7968.5,203.19675,0.0255,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7765.30325,-0.010294,-1.029423,7962.417,-0.024756,-2.475552,0.012896,1.289551,,,true,true,
2020-01-11,10:00,15:00,1578754800000,2,BTC-17JAN20-8000-C,8065,266.145,0.033,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7798.855,0.004321,0.432073,7962.417,-0.020542,-2.054175,0.012547,1.254738,,,true,true,
2020-01-12,10:00,15:00,1578841200000,2,BTC-17JAN20-8000-C,8139,276.726,0.034,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,7862.274,0.008132,0.813183,7962.417,-0.012577,-1.257696,0.012327,1.232713,,,true,true,
