date,snapshot_time_ny,snapshot_time_utc,snapshot_timestamp,cycle_id,instrument_name,underlying_price,option_price_proxy,option_price_proxy_underlying,option_price_proxy_source,approximate_CCW_value,daily_return,daily_return_pct,rolling_peak,rolling_drawdown,rolling_drawdown_pct,EWMA_vol,EWMA_vol_pct,historical_VaR,historical_VaR_pct,underlying_price_found,option_price_found,notes
2025-01-03,10:00,15:00,1735916400000,1,BTC-10JAN25-106000-C,97024.5,349.2882,0.0036,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,96675.2118,,,96675.2118,0,0,,,,,true,true,
2025-01-04,10:00,15:00,1736002800000,1,BTC-10JAN25-106000-C,98050,254.93,0.0026,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,97795.07,0.011584,1.158372,97795.07,0,0,0.011584,1.158372,,,true,true,
2025-01-05,10:00,15:00,1736089200000,1,BTC-10JAN25-106000-C,97878,274.0584,0.0028,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,97603.9416,-0.001954,-0.195438,97795.07,-0.001954,-0.195438,0.011241,1.124103,,,true,true,
2025-01-06,10:00,15:00,1736175600000,1,BTC-10JAN25-106000-C,100682,604.092,0.006,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,100077.908,0.025347,2.534699,100077.908,0,0,0.012543,1.254302,,,true,true,
2025-01-07,10:00,15:00,1736262000000,1,BTC-10JAN25-106000-C,99883.5,159.8136,0.0016,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,99723.6864,-0.003539,-0.353946,100077.908,-0.003539,-0.353946,0.012192,1.219177,,,true,true,
2025-01-08,10:00,15:00,1736348400000,1,BTC-10JAN25-106000-C,95331.5,19.0663,0.0002,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,95312.4337,-0.044235,-4.423475,100077.908,-0.047618,-4.761765,0.016035,1.603508,,,true,true,
2025-01-09,10:00,15:00,1736434800000,1,BTC-10JAN25-106000-C,92788,18.5576,0.0002,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,92769.4424,-0.026681,-2.668058,100077.908,-0.073028,-7.302776,0.016864,1.686439,,,true,true,
2025-01-10,10:00,15:00,1736521200000,2,BTC-17JAN25-104000-C,93687,281.061,0.003,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,93405.939,0.006861,0.686106,100077.908,-0.066668,-6.666775,0.016437,1.643677,,,true,true,
2025-01-11,10:00,15:00,1736607600000,2,BTC-17JAN25-104000-C,94566.5,208.0463,0.0022,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,94358.4537,0.010198,1.019758,100077.908,-0.05715,-5.715002,0.016131,1.613062,,,true,true,
2025-01-12,10:00,15:00,1736694000000,2,BTC-17JAN25-104000-C,94762,217.9526,0.0023,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,94544.0474,0.001967,0.19669,100077.908,-0.055296,-5.529553,0.015647,1.564664,,,true,true,
2025-01-13,10:00,15:00,1736780400000,2,BTC-17JAN25-104000-C,91893,101.0823,0.0011,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,91791.9177,-0.029109,-2.91095,100077.908,-0.082795,-8.27954,0.016762,1.676216,,,true,true,
2025-01-14,10:00,15:00,1736866800000,2,BTC-17JAN25-104000-C,96224.5,230.9388,0.0024,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,95993.5612,0.045774,4.577357,100077.908,-0.040812,-4.081167,0.019744,1.974398,,,true,true,
2025-01-15,10:00,15:00,1736953200000,2,BTC-17JAN25-104000-C,99718,259.2668,0.0026,Deribit option 1-minute OHLC close at 10:00 NY snapshot; option-denominated close converted to USD with snapshot BTC-PERPETUAL close,99458.7332,0.036098,3.609796,100077.908,-0.006187,-0.618693,0.021086,2.1086,,,true,true,
