date,year,regime,damage_state,alert_state,drawdown_state,duration_state,var_state,ewma_state,tail_state,rolling_drawdown_pct,historical_var_loss_pct,ewma_vol_pct,daily_return_pct,underwater_duration_days,recent_tail_loss_days,alert_reason
2025-01-03,2025,Mixed,normal,normal,normal,normal,normal,normal,normal,0,,,,0,0,
2025-01-04,2025,Mixed,normal,normal,normal,normal,normal,normal,normal,0,,2.647167,2.647167,0,0,
2025-01-05,2025,Mixed,normal,normal,normal,normal,normal,normal,normal,-0.286044,,2.56748,-0.286044,1,0,
2025-01-06,2025,Mixed,normal,normal,normal,normal,normal,normal,normal,0,,2.509458,1.297073,0,0,
2025-01-07,2025,Mixed,normal,normal,normal,normal,normal,normal,normal,-1.257397,,2.452427,-1.257397,1,0,
2025-01-08,2025,Mixed,normal,normal,normal,normal,normal,normal,watch,-5.684675,,2.619108,-4.483656,2,1,
2025-01-09,2025,Mixed,normal,normal,normal,normal,normal,normal,stress,-8.942163,,2.676542,-3.453826,3,2,
2025-01-10,2025,Mixed,normal,normal,normal,normal,normal,normal,stress,-10.595702,,2.63285,-1.815922,4,2,
2025-01-11,2025,Mixed,normal,normal,normal,normal,normal,normal,stress,-9.287856,,2.577669,1.462845,5,2,
2025-01-12,2025,Mixed,normal,normal,normal,normal,normal,normal,stress,-9.385927,,2.499283,-0.108113,6,2,
2025-01-13,2025,Mixed,normal,normal,normal,normal,normal,normal,stress,-15.064596,,2.868459,-6.266873,7,3,
2025-01-14,2025,Mixed,normal,normal,normal,normal,normal,normal,stress,-11.314236,,2.98399,4.415544,8,3,
2025-01-15,2025,Mixed,normal,normal,normal,normal,normal,normal,stress,-7.020585,,3.126708,4.841421,9,2,
2025-01-16,2025,Mixed,normal,normal,normal,normal,normal,normal,normal,-8.285523,,3.049717,-1.36045,10,1,
2025-01-17,2025,Mixed,normal,normal,normal,normal,normal,normal,normal,-6.071068,,3.01538,2.41451,11,1,
2025-01-18,2025,Mixed,normal,normal,normal,normal,normal,normal,stress,-8.9608,,3.019083,-3.076508,12,2,
