configId,state,year,regime,startDate,endDate,durationDays,maxDamageState,maxDrawdownPct,maxVarLossPct,maxEwmaPct,minDailyReturnPct
v04a_confirmation_stress,normal,2025,Mixed,2025-01-03,2025-01-19,17,normal,-15.064596,,3.126708,-6.266873
v04a_confirmation_stress,watch,2025,Mixed,2025-01-20,2025-02-06,18,stress,-13.318618,,2.874868,-4.682051
v04a_confirmation_stress,stress,2025,Mixed,2025-02-07,2025-02-14,8,stress,-27.27022,4.592773,2.911273,-3.796631
v04a_confirmation_stress,watch,2025,Mixed,2025-02-15,2025-02-17,3,stress,-25.369264,4.592773,2.556596,-0.451012
v04a_confirmation_stress,stress,2025,Mixed,2025-02-18,2025-02-18,1,stress,-25.396193,4.283612,2.696804,-4.337316
v04a_confirmation_stress,watch,2025,Mixed,2025-02-19,2025-02-21,3,stress,-24.756651,4.52692,2.623066,0.85725
v04a_confirmation_stress,stress,2025,Mixed,2025-02-22,2025-02-27,6,stress,-35.672778,4.52692,3.782407,-10.926028
v04a_confirmation_stress,watch,2025,Mixed,2025-02-28,2025-03-06,7,stress,,4.52692,3.782407,
v04a_confirmation_stress,stress,2025,Mixed,2025-03-07,2025-03-27,21,stress,-48.020742,6.833094,3.88899,-7.625583
v04a_confirmation_stress,watch,2025,Mixed,2025-03-28,2025-04-03,7,stress,,6.833094,2.771282,
v04a_confirmation_stress,stress,2025,Mixed,2025-04-04,2025-04-19,16,stress,-58.245352,9.08889,3.721647,-10.286141
v04a_confirmation_stress,watch,2025,Mixed,2025-04-20,2025-05-16,27,stress,-56.13428,4.4027,3.173119,-1.433844
v04a_confirmation_stress,stress,2025,Mixed,2025-05-17,2025-05-17,1,stress,-31.301574,4.4027,2.685441,-3.815386
v04a_confirmation_stress,watch,2025,Mixed,2025-05-18,2025-05-18,1,stress,-29.175298,4.439486,2.711766,3.095086
v04a_confirmation_stress,stress,2025,Mixed,2025-05-19,2025-05-25,7,stress,-32.231766,4.664554,2.909951,-4.315539
v04a_confirmation_stress,watch,2025,Mixed,2025-05-26,2025-06-12,18,stress,-31.24843,3.7786,2.794931,-0.282567
v04a_confirmation_stress,stress,2025,Mixed,2025-06-13,2025-06-13,1,stress,-30.353044,3.633784,2.535653,-4.545224
v04a_confirmation_stress,watch,2025,Mixed,2025-06-14,2025-06-20,7,stress,-30.233984,4.09047,2.458763,-1.554919
v04a_confirmation_stress,stress,2025,Mixed,2025-06-21,2025-06-26,6,stress,-38.464182,4.441866,3.387456,-8.877626
v04a_confirmation_stress,watch,2025,Mixed,2025-06-27,2025-07-03,7,stress,,4.441866,3.186489,
v04a_confirmation_stress,stress,2025,Mixed,2025-07-04,2025-07-05,2,stress,-30.194478,4.441866,3.186489,-0.195147
v04a_confirmation_stress,watch,2025,Mixed,2025-07-06,2025-07-19,14,stress,-29.191426,4.137215,5.089849,-1.376114
v04a_confirmation_stress,normal,2025,Mixed,2025-07-20,2025-10-16,89,normal,-17.382927,5.459714,4.863905,-10.918109
v04a_confirmation_stress,stress,2025,Mixed,2025-10-17,2025-10-17,1,watch,-20.166581,5.459714,4.316863,-8.470377
v04a_confirmation_stress,normal,2025,Mixed,2025-10-18,2025-10-20,3,normal,-18.348639,7.273073,4.222359,1.103509
v04a_confirmation_stress,watch,2025,Mixed,2025-10-21,2025-11-06,17,stress,-18.202751,7.273073,3.892729,-4.835648
v04a_confirmation_stress,stress,2025,Mixed,2025-11-07,2025-11-27,21,stress,-42.116339,8.843525,3.990068,-10.869871
v04a_confirmation_stress,watch,2025,Mixed,2025-11-28,2025-12-04,7,stress,,7.207897,3.376985,
v04a_confirmation_stress,stress,2025,Mixed,2025-12-05,2025-12-23,19,stress,-36.991605,7.207897,3.497989,-3.470722
v04a_confirmation_stress,watch,2025,Mixed,2025-12-24,2025-12-25,2,stress,-36.73765,3.35224,2.650699,0.40305
v04b_actionable_stress_recommended,normal,2025,Mixed,2025-01-03,2025-01-19,17,normal,-15.064596,,3.126708,-6.266873
v04b_actionable_stress_recommended,watch,2025,Mixed,2025-01-20,2025-02-06,18,stress,-13.318618,,2.874868,-4.682051
v04b_actionable_stress_recommended,stress,2025,Mixed,2025-02-07,2025-02-14,8,stress,-27.27022,4.592773,2.911273,-3.796631
v04b_actionable_stress_recommended,watch,2025,Mixed,2025-02-15,2025-02-17,3,stress,-25.369264,4.592773,2.556596,-0.451012
v04b_actionable_stress_recommended,stress,2025,Mixed,2025-02-18,2025-02-18,1,stress,-25.396193,4.283612,2.696804,-4.337316
v04b_actionable_stress_recommended,watch,2025,Mixed,2025-02-19,2025-02-21,3,stress,-24.756651,4.52692,2.623066,0.85725
v04b_actionable_stress_recommended,stress,2025,Mixed,2025-02-22,2025-02-27,6,stress,-35.672778,4.52692,3.782407,-10.926028
v04b_actionable_stress_recommended,watch,2025,Mixed,2025-02-28,2025-03-06,7,stress,,4.52692,3.782407,
v04b_actionable_stress_recommended,stress,2025,Mixed,2025-03-07,2025-03-27,21,stress,-48.020742,6.833094,3.88899,-7.625583
v04b_actionable_stress_recommended,watch,2025,Mixed,2025-03-28,2025-04-03,7,stress,,6.833094,2.771282,
