year,regime,policyId,economicScenarioId,validReturnDays,gross_hedged_return_pct,net_hedged_return_pct,gross_CAGRpct,net_CAGRpct,gross_maxDrawdownPct,net_maxDrawdownPct,net_maxUnderwaterDurationDays,net_volatilityPct,net_historicalVaRPct,net_ewmaMaxPct,total_fees,total_slippage,total_funding,total_basis_effect,total_collateral_effect,net_implementation_cost,max_margin_required,average_margin_required,collateral_utilization_pct,hedge_turnover,hedge_events,cost_per_hedge_event,cost_as_pct_of_equity,net_drawdown_reduction_pct_points,net_return_sacrificed_pct,net_return_effect,net_protection_efficiency
2020,Bull market,stress30_crisis40,BASE,254,49.209146,48.899762,50.943176,50.621169,-51.827328,-51.839173,196,2.852845,-2.789744,6.869553,0.000259,0.000095,-0.001335,0,0,0.001689,0.084022,0.009813,1.256348,0.472071,2,0.000845,0.1689,3.210555,4.463819,return sacrificed,0.719239
2021,Bull market,stress30_crisis40,BASE,247,-19.824222,-20.00414,-20.334076,-20.518005,-48.570246,-48.572406,194,3.705005,-6.297414,5.585361,0.003567,0.001296,0.001989,0,0,0.002874,0.164515,0.039648,3.273969,6.486771,25,0.000115,0.2874,5.214391,-1.688111,return improved,
2022,Bear market,stress30_crisis40,BASE,240,-55.22383,-55.137926,-56.250656,-56.164297,-57.947763,-57.85002,234,2.506502,-3.997137,4.077623,0.000348,0.000126,0.001903,0,0,-0.001429,0.091796,0.043196,6.607331,0.632729,2,-0.000714,-0.1429,9.914336,-10.602432,return improved,
2023,Recovery,stress30_crisis40,BASE,247,109.602398,109.555762,114.129251,114.080233,-18.240579,-18.240579,73,2.366102,-2.762413,5.720217,0.000088,0.000032,0,0,0,0.00012,0,0,0,0.160311,1,0.00012,0.012,0,0.046636,return sacrificed,0
2024,ETF/Bull,stress30_crisis40,BASE,240,94.121328,94.040897,97.87497,97.790616,-15.374203,-15.374203,41,2.141779,-3.681167,3.354973,0.000385,0.00014,0.000041,0,0,0.000484,0.116111,0.000484,0.041459,0.69841,2,0.000242,0.0484,0,1.283193,return sacrificed,0
2025,Mixed,stress30_crisis40,BASE,252,-11.975026,-12.226068,-12.298605,-12.555936,-27.671659,-27.738253,100,1.782591,-2.795671,2.649747,0.005151,0.001872,0.001464,0,0,0.005559,0.205798,0.024795,1.270237,9.36368,16,0.000347,0.5559,1.790751,2.131537,return sacrificed,0.840122
2020,Bull market,stress30_crisis40,CONSERVATIVE,254,49.209146,48.684264,50.943176,50.39689,-51.827328,-51.862011,196,2.852858,-2.789744,6.870893,0.000259,0.000236,-0.001493,-0.000749,0,0.002737,0.12583,0.0147,1.884603,0.471733,2,0.001369,0.2737,3.187716,4.679318,return sacrificed,0.681235
2021,Bull market,stress30_crisis40,CONSERVATIVE,247,-19.824222,-20.83368,-20.334076,-21.365887,-48.570246,-48.847139,194,3.707816,-6.300322,5.598171,0.003547,0.003222,-0.005841,-0.002917,0,0.015527,0.245592,0.059083,4.911601,6.443262,25,0.000621,1.5527,4.939659,-0.858571,return improved,
2022,Bear market,stress30_crisis40,CONSERVATIVE,240,-55.22383,-55.886526,-56.250656,-56.916708,-57.947763,-58.475016,234,2.506775,-3.996784,4.077565,0.000344,0.000313,-0.006086,-0.003052,0,0.009795,0.136057,0.063455,9.912046,0.625237,2,0.004898,0.9795,9.28934,-9.853831,return improved,
2023,Recovery,stress30_crisis40,CONSERVATIVE,247,109.602398,109.537108,114.129251,114.060626,-18.240579,-18.240579,73,2.36609,-2.762413,5.720152,0.000086,0.000078,0,0,0,0.000164,0,0,0,0.155775,1,0.000164,0.0164,0,0.06529,return sacrificed,0
2024,ETF/Bull,stress30_crisis40,CONSERVATIVE,240,94.121328,93.98191,97.87497,97.728754,-15.374203,-15.374203,41,2.141779,-3.681167,3.354973,0.000373,0.000339,-0.000068,-0.000034,0,0.000814,0.169224,0.000705,0.062202,0.678518,2,0.000407,0.0814,0,1.342179,return sacrificed,0
2025,Mixed,stress30_crisis40,CONSERVATIVE,252,-11.975026,-12.669248,-12.298605,-13.010165,-27.671659,-27.919514,100,1.782413,-2.795671,2.651655,0.004988,0.004538,-0.003634,-0.001817,0,0.014977,0.299101,0.036041,1.905612,9.072123,16,0.000936,1.4977,1.60949,2.574716,return sacrificed,0.625113
2020,Bull market,stress30_crisis40,STRESS,254,49.209146,47.999065,50.943176,49.683835,-51.827328,-51.897044,196,2.852904,-2.789744,6.873019,0.000259,0.000471,-0.003724,-0.002236,0.000367,0.006323,0.250707,0.029331,3.769736,0.470628,2,0.003162,0.6323,3.152683,5.364516,return sacrificed,0.587692
2021,Bull market,stress30_crisis40,STRESS,247,-19.824222,-21.894287,-20.334076,-22.449571,-48.570246,-49.15494,194,3.708144,-6.305872,5.599778,0.003502,0.006368,-0.014435,-0.008666,0.001443,0.031528,0.486942,0.116877,9.824874,6.367985,25,0.001261,3.1528,4.631858,0.202037,return sacrificed,22.925843
2022,Bear market,stress30_crisis40,STRESS,240,-55.22383,-56.834143,-56.250656,-57.86862,-57.947763,-59.299532,234,2.506913,-3.997137,4.077473,0.000338,0.000614,-0.014796,-0.008882,0.001495,0.023135,0.26719,0.123376,19.826788,0.613977,2,0.011568,2.3135,8.464824,-8.906214,return improved,
2023,Recovery,stress30_crisis40,STRESS,247,109.602398,109.506018,114.129251,114.027947,-18.240579,-18.240579,73,2.366071,-2.762413,5.720044,0.000082,0.00015,0,0,0,0.000232,0,0,0,0.149694,1,0.000232,0.0232,0,0.09638,return sacrificed,0
2024,ETF/Bull,stress30_crisis40,STRESS,240,94.121328,93.897751,97.87497,97.640494,-15.374203,-15.374203,41,2.141784,-3.681167,3.354972,0.000359,0.000652,-0.000163,-0.000098,0.000016,0.001256,0.325187,0.001355,0.12444,0.651838,2,0.000628,0.1256,0,1.426338,return sacrificed,0
2025,Mixed,stress30_crisis40,STRESS,252,-11.975026,-13.254273,-12.298605,-13.609674,-27.671659,-28.150209,100,1.782356,-2.795671,2.654055,0.004777,0.008684,-0.008695,-0.005221,0.000867,0.02651,0.572746,0.069008,3.811882,8.683268,16,0.001657,2.651,1.378794,3.159742,return sacrificed,0.436363
