start_date,end_date,year,regime,state,duration_days,max_drawdown_pct,max_ewma_pct,max_var_loss_pct,min_daily_return_pct,tail_loss_days
2020-01-03,2020-01-18,2020,Bull market,normal,16,-2.475552,2.030439,,-1.461171,0
2020-01-19,2020-01-20,2020,Bull market,watch,2,-2.015023,2.006395,,-2.015023,1
2020-01-21,2020-01-22,2020,Bull market,normal,2,-1.098067,1.898994,,0.002391,0
2020-01-23,2020-01-25,2020,Bull market,stress,3,-4.830554,1.949731,,-3.197762,1
2020-01-26,2020-01-27,2020,Bull market,watch,2,-3.214405,1.958099,,1.698181,0
2020-01-28,2020-02-15,2020,Bull market,normal,19,-0.674914,1.957633,1.766509,-0.674914,0
2020-02-16,2020-02-16,2020,Bull market,watch,1,-2.702761,1.717897,1.766509,-2.702761,1
2020-02-17,2020-02-19,2020,Bull market,stress,3,-5.434064,1.995494,2.760188,-2.807174,1
2020-02-20,2020-02-22,2020,Bull market,crisis,3,-6.13949,2.327292,3.021998,-5.280805,1
2020-02-23,2020-03-08,2020,Bull market,stress,15,-14.870798,2.449928,3.411774,-4.94263,3
2020-03-09,2020-08-08,2020,Bull market,crisis,153,-54.036507,7.009549,9.999168,-24.329604,15
2020-08-09,2020-08-11,2020,Bull market,stress,3,-1.02585,1.40566,2.100538,-1.02585,0
2020-08-12,2020-08-13,2020,Bull market,watch,2,-1.632915,1.345349,1.354299,-0.333705,0
2020-08-14,2020-08-20,2020,Bull market,normal,7,-1.482965,1.267659,1.354299,-0.491573,0
2020-08-21,2020-08-22,2020,Bull market,watch,2,-2.63464,1.198044,1.308474,-2.014877,1
2020-08-23,2020-08-24,2020,Bull market,normal,2,-2.743667,1.133701,1.308474,-0.111977,0
2020-08-25,2020-09-03,2020,Bull market,stress,10,-3.709416,1.221279,1.569815,-2.173168,1
2020-09-04,2020-09-05,2020,Bull market,watch,2,-13.335457,1.148405,1.569815,-0.557518,0
2020-09-06,2020-09-07,2020,Bull market,normal,2,-15.064681,1.110216,1.569815,-1.152535,0
2020-09-08,2020-09-14,2020,Bull market,watch,7,-15.849957,1.578244,2.101937,-2.747254,1
2020-09-15,2020-09-21,2020,Bull market,stress,7,-10.535391,1.561783,2.101937,-2.390595,1
2020-09-22,2020-10-22,2020,Bull market,crisis,31,-12.118913,1.537059,2.292753,-1.078061,0
2020-10-23,2020-10-25,2020,Bull market,stress,3,0,2.177539,2.182275,0.054071,0
2020-10-26,2020-10-27,2020,Bull market,watch,2,0,2.031038,2.182275,1.412072,0
2020-10-28,2020-11-08,2020,Bull market,normal,12,-1.668324,1.981012,1.81096,-1.668324,0
2020-11-09,2020-11-10,2020,Bull market,watch,2,-2.225294,1.84168,2.070687,-2.187708,1
2020-11-11,2020-11-25,2020,Bull market,normal,15,-1.455078,2.279613,2.070687,-1.204129,0
2020-11-26,2020-12-05,2020,Bull market,crisis,10,-10.44802,3.280333,1.953986,-10.44802,1
2020-12-06,2020-12-08,2020,Bull market,stress,3,-0.914488,3.09007,1.953986,-0.914488,0
2020-12-09,2020-12-10,2020,Bull market,watch,2,-4.41235,2.857603,1.994576,-1.803331,0
2020-12-11,2020-12-24,2020,Bull market,normal,14,-5.668594,4.122659,2.014738,-1.314233,0
2021-01-01,2021-01-10,2021,Bull market,normal,10,-2.71835,1.310872,,-1.434449,0
2021-01-11,2021-01-13,2021,Bull market,crisis,3,-13.415148,2.978189,,-10.9957,1
2021-01-14,2021-01-14,2021,Bull market,stress,1,0,4.329587,,13.538071,0
2021-01-15,2021-02-10,2021,Bull market,crisis,27,-24.436585,5.17907,,-10.767556,8
2021-02-11,2021-02-13,2021,Bull market,stress,3,0,5.247104,,0.137426,0
2021-02-14,2021-02-15,2021,Bull market,watch,2,-0.332309,4.975761,,-0.332309,0
2021-02-16,2021-02-20,2021,Bull market,stress,5,0,4.70804,10.545595,0.489956,0
2021-02-21,2021-02-22,2021,Bull market,watch,2,-2.664186,4.210769,7.632936,-2.664186,1
2021-02-23,2021-03-08,2021,Bull market,crisis,14,-12.400307,4.837056,7.483502,-10.00261,1
2021-03-09,2021-03-11,2021,Bull market,stress,3,-6.108052,4.370351,3.522654,0.790346,0
2021-03-12,2021-03-16,2021,Bull market,watch,5,-4.552764,4.378253,3.522654,-3.28294,1
2021-03-17,2021-03-18,2021,Bull market,normal,2,-4.811778,4.022157,3.004501,-0.271369,0
2021-03-19,2021-03-21,2021,Bull market,stress,3,-2.856969,3.961921,3.091253,-2.856969,1
2021-03-22,2021-03-22,2021,Bull market,watch,1,-2.373042,3.6276,3.091253,0.254168,0
2021-03-23,2021-03-24,2021,Bull market,stress,2,-4.400205,3.553675,3.091253,-2.076438,1
2021-03-25,2021-04-13,2021,Bull market,crisis,20,-10.290986,4.027439,6.295347,-8.760044,1
2021-04-14,2021-04-16,2021,Bull market,stress,3,-2.378275,3.574604,6.295347,-2.378275,1
2021-04-17,2021-04-17,2021,Bull market,watch,1,-2.105589,3.310398,6.295347,0.27933,0
2021-04-18,2021-04-28,2021,Bull market,crisis,11,-23.076369,4.619568,8.761143,-12.737565,3
