configId,state,year,regime,startDate,endDate,durationDays,maxDrawdownPct,maxVarLossPct,maxEwmaPct,minDailyReturnPct
current_v0_1,normal,2020,Bull market,2020-01-03,2020-01-18,16,-2.475552,,2.030439,-1.461171
current_v0_1,watch,2020,Bull market,2020-01-19,2020-01-20,2,-2.015023,,2.006395,-2.015023
current_v0_1,normal,2020,Bull market,2020-01-21,2020-01-22,2,-1.098067,,1.898994,0.002391
current_v0_1,stress,2020,Bull market,2020-01-23,2020-01-25,3,-4.830554,,1.949731,-3.197762
current_v0_1,watch,2020,Bull market,2020-01-26,2020-01-27,2,-3.214405,,1.958099,1.698181
current_v0_1,normal,2020,Bull market,2020-01-28,2020-02-15,19,-0.674914,1.766509,1.957633,-0.674914
current_v0_1,watch,2020,Bull market,2020-02-16,2020-02-16,1,-2.702761,1.766509,1.717897,-2.702761
current_v0_1,stress,2020,Bull market,2020-02-17,2020-02-19,3,-5.434064,2.760188,1.995494,-2.807174
current_v0_1,crisis,2020,Bull market,2020-02-20,2020-02-22,3,-6.13949,3.021998,2.327292,-5.280805
current_v0_1,stress,2020,Bull market,2020-02-23,2020-03-08,15,-14.870798,3.411774,2.449928,-4.94263
current_v0_1,crisis,2020,Bull market,2020-03-09,2020-08-08,153,-54.036507,9.999168,7.009549,-24.329604
current_v0_1,stress,2020,Bull market,2020-08-09,2020-08-11,3,-1.02585,2.100538,1.40566,-1.02585
current_v0_1,watch,2020,Bull market,2020-08-12,2020-08-13,2,-1.632915,1.354299,1.345349,-0.333705
current_v0_1,normal,2020,Bull market,2020-08-14,2020-08-20,7,-1.482965,1.354299,1.267659,-0.491573
current_v0_1,watch,2020,Bull market,2020-08-21,2020-08-22,2,-2.63464,1.308474,1.198044,-2.014877
current_v0_1,normal,2020,Bull market,2020-08-23,2020-08-24,2,-2.743667,1.308474,1.133701,-0.111977
current_v0_1,stress,2020,Bull market,2020-08-25,2020-09-03,10,-3.709416,1.569815,1.221279,-2.173168
current_v0_1,watch,2020,Bull market,2020-09-04,2020-09-05,2,-13.335457,1.569815,1.148405,-0.557518
current_v0_1,normal,2020,Bull market,2020-09-06,2020-09-07,2,-15.064681,1.569815,1.110216,-1.152535
current_v0_1,watch,2020,Bull market,2020-09-08,2020-09-14,7,-15.849957,2.101937,1.578244,-2.747254
current_v0_1,stress,2020,Bull market,2020-09-15,2020-09-21,7,-10.535391,2.101937,1.561783,-2.390595
current_v0_1,crisis,2020,Bull market,2020-09-22,2020-10-22,31,-12.118913,2.292753,1.537059,-1.078061
current_v0_1,stress,2020,Bull market,2020-10-23,2020-10-25,3,0,2.182275,2.177539,0.054071
current_v0_1,watch,2020,Bull market,2020-10-26,2020-10-27,2,0,2.182275,2.031038,1.412072
current_v0_1,normal,2020,Bull market,2020-10-28,2020-11-08,12,-1.668324,1.81096,1.981012,-1.668324
current_v0_1,watch,2020,Bull market,2020-11-09,2020-11-10,2,-2.225294,2.070687,1.84168,-2.187708
current_v0_1,normal,2020,Bull market,2020-11-11,2020-11-25,15,-1.455078,2.070687,2.279613,-1.204129
current_v0_1,crisis,2020,Bull market,2020-11-26,2020-12-05,10,-10.44802,1.953986,3.280333,-10.44802
current_v0_1,stress,2020,Bull market,2020-12-06,2020-12-08,3,-0.914488,1.953986,3.09007,-0.914488
current_v0_1,watch,2020,Bull market,2020-12-09,2020-12-10,2,-4.41235,1.994576,2.857603,-1.803331
current_v0_1,normal,2020,Bull market,2020-12-11,2020-12-24,14,-5.668594,2.014738,4.122659,-1.314233
current_v0_1,normal,2021,Bull market,2021-01-01,2021-01-10,10,-2.71835,,1.310872,-1.434449
current_v0_1,crisis,2021,Bull market,2021-01-11,2021-01-13,3,-13.415148,,2.978189,-10.9957
current_v0_1,stress,2021,Bull market,2021-01-14,2021-01-14,1,0,,4.329587,13.538071
current_v0_1,crisis,2021,Bull market,2021-01-15,2021-02-10,27,-24.436585,,5.17907,-10.767556
current_v0_1,stress,2021,Bull market,2021-02-11,2021-02-13,3,0,,5.247104,0.137426
current_v0_1,watch,2021,Bull market,2021-02-14,2021-02-15,2,-0.332309,,4.975761,-0.332309
