configId,year,regime,normalDays,watchDays,stressDays,crisisDays,stressOrCrisisPct,crisisPct,transitionCount,maxStressEpisodeDays,maxCrisisEpisodeDays,stressDrawdownLeadPct,maxDrawdownPct,maxVarLossPct,maxEwmaPct
current_v0_1,2020,Bull market,89,24,47,197,68.347339,55.182073,31,15,153,100,-54.036507,9.999168,7.009549
current_v0_1,2021,Bull market,21,39,36,268,83.516484,73.626374,31,10,162,100,-52.446788,11.780346,7.712212
current_v0_1,2022,Bear market,2,4,36,315,98.319328,88.235294,8,30,309,100,-63.424948,8.593602,4.693772
current_v0_1,2023,Recovery,113,64,42,138,50.420168,38.655462,38,7,79,0,-18.902711,4.233107,5.720382
current_v0_1,2024,ETF/Bull,78,30,59,190,69.747899,53.221289,30,19,128,0,-23.419236,4.959088,3.355019
current_v0_1,2025,Mixed,72,52,75,158,65.266106,44.257703,43,14,85,0,-32.756283,6.233757,2.983408
less_aggressive_crisis_v0_2_candidate,2020,Bull market,89,24,68,176,68.347339,49.29972,31,28,153,100,-54.036507,9.999168,7.009549
less_aggressive_crisis_v0_2_candidate,2021,Bull market,21,39,36,268,83.516484,73.626374,31,10,162,100,-52.446788,11.780346,7.712212
less_aggressive_crisis_v0_2_candidate,2022,Bear market,2,4,36,315,98.319328,88.235294,8,30,309,100,-63.424948,8.593602,4.693772
less_aggressive_crisis_v0_2_candidate,2023,Recovery,113,64,42,138,50.420168,38.655462,38,7,79,0,-18.902711,4.233107,5.720382
less_aggressive_crisis_v0_2_candidate,2024,ETF/Bull,78,30,59,190,69.747899,53.221289,30,19,128,0,-23.419236,4.959088,3.355019
less_aggressive_crisis_v0_2_candidate,2025,Mixed,73,54,87,143,64.42577,40.056022,43,18,85,0,-32.756283,6.233757,2.983408
confirmation_based_v0_2_recommended,2020,Bull market,94,24,75,164,66.946779,45.938375,29,38,151,100,-54.036507,9.999168,7.009549
confirmation_based_v0_2_recommended,2021,Bull market,23,39,36,266,82.967033,73.076923,33,10,160,100,-52.446788,11.780346,7.712212
confirmation_based_v0_2_recommended,2022,Bear market,2,4,36,315,98.319328,88.235294,8,30,309,100,-63.424948,8.593602,4.693772
confirmation_based_v0_2_recommended,2023,Recovery,117,64,49,127,49.29972,35.57423,38,10,77,0,-18.902711,4.233107,5.720382
confirmation_based_v0_2_recommended,2024,ETF/Bull,79,32,60,186,68.907563,52.10084,34,19,126,0,-23.419236,4.959088,3.355019
confirmation_based_v0_2_recommended,2025,Mixed,78,54,96,129,63.02521,36.134454,42,26,83,0,-32.756283,6.233757,2.983408
