date,year,regime,damage_state,alert_state,drawdown_state,duration_state,var_state,ewma_state,tail_state,rolling_drawdown_pct,historical_var_loss_pct,ewma_vol_pct,daily_return_pct,underwater_duration_days,recent_tail_loss_days,alert_reason
2020-01-03,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,,,0,0,
2020-01-04,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,0.714534,0.714534,0,0,
2020-01-05,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,0.796906,1.60797,0,0,
2020-01-06,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,0.841516,1.36133,0,0,
2020-01-07,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.14642,3.287906,0,0,
2020-01-08,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.293744,2.702931,0,0,
2020-01-09,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-1.461171,,1.304395,-1.461171,1,0,
2020-01-10,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-2.475552,,1.289551,-1.029423,2,0,
2020-01-11,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-2.054175,,1.254738,0.432073,3,0,
2020-01-12,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-1.257696,,1.232713,0.813183,4,0,
2020-01-13,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-1.24671,,1.195163,0.011126,5,0,
2020-01-14,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.232299,1.71198,0,0,
2020-01-15,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.200903,0.49531,0,0,
2020-01-16,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-0.408659,,1.168614,-0.408659,1,0,
2020-01-17,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,2.030439,6.878665,0,0,
2020-01-18,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,2.005843,1.571027,0,0,
2020-01-19,2020,Bull market,normal,normal,normal,normal,normal,normal,watch,-2.015023,,2.006395,-2.015023,1,1,
2020-01-20,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-1.100432,,1.958662,0.933399,2,1,
2020-01-21,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-1.098067,,1.898994,0.002391,3,1,
2020-01-22,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-0.937253,,1.841574,0.162599,4,1,
2020-01-23,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-4.105044,,1.949731,-3.197762,5,2,
2020-01-24,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-3.417778,,1.898468,0.716686,6,2,
2020-01-25,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-4.830554,,1.875183,-1.46277,7,2,
2020-01-26,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-3.214405,,1.865037,1.698181,8,1,
2020-01-27,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-0.245724,,1.958099,3.067276,9,1,
2020-01-28,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.957633,1.950324,0,1,
2020-01-29,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.92938,1.414915,0,1,
2020-01-30,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-0.292166,,1.871972,-0.292166,1,0,
2020-01-31,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,,,1.871972,,,0,
2020-02-01,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,,,1.871972,,,0,
2020-02-02,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,,,1.871972,,,0,
2020-02-03,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,,,1.871972,,,0,
2020-02-04,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,,,1.871972,,,0,
2020-02-05,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,,,1.871972,,,0,
2020-02-06,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,,,1.871972,,,0,
2020-02-07,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.871972,,0,0,
2020-02-08,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.817969,0.427934,0,0,
2020-02-09,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,,1.810732,1.69333,0,0,
2020-02-10,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-0.674914,,1.763337,-0.674914,1,0,
2020-02-11,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-0.548922,1.766509,1.709901,0.126848,2,0,
2020-02-12,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,1.766509,1.727112,1.977289,0,0,
2020-02-13,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,1.766509,1.674676,0.099896,0,0,
2020-02-14,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,1.766509,1.685163,1.841673,0,0,
2020-02-15,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,0,1.766509,1.635014,0.254425,0,0,
2020-02-16,2020,Bull market,normal,normal,normal,normal,normal,normal,watch,-2.702761,1.766509,1.717897,-2.702761,1,1,
2020-02-17,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-5.434064,2.393279,1.801919,-2.807174,2,2,
2020-02-18,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-4.331648,2.760188,1.770208,1.165764,3,2,
2020-02-19,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-0.355604,2.760188,1.995494,4.15607,4,2,
2020-02-20,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-5.61763,2.760188,2.327292,-5.280805,5,3,
2020-02-21,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-6.13949,3.021998,2.260455,-0.552921,6,3,
2020-02-22,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-5.99118,3.021998,2.191934,0.158012,7,3,
2020-02-23,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-4.084508,3.021998,2.182455,2.028184,8,2,
2020-02-24,2020,Bull market,normal,normal,normal,normal,normal,normal,normal,-5.490693,3.021998,2.146226,-1.466067,9,1,
2020-02-25,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-7.956305,3.021998,2.176758,-2.608856,10,2,
2020-02-26,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-11.257797,3.021998,2.286027,-3.586874,11,3,
2020-02-27,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,-12.889792,3.411774,2.2617,-1.83903,12,2,
2020-02-28,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,,3.411774,2.2617,,,2,
2020-02-29,2020,Bull market,normal,normal,normal,normal,normal,normal,stress,,3.411774,2.2617,,,2,
