configId,state,year,regime,startDate,endDate,durationDays,maxDamageState,maxDrawdownPct,maxVarLossPct,maxEwmaPct,minDailyReturnPct
v04a_confirmation_stress,normal,2020,Bull market,2020-01-03,2020-03-06,64,normal,-12.889792,3.411774,2.327292,-5.280805
v04a_confirmation_stress,watch,2020,Bull market,2020-03-07,2020-03-08,2,watch,-14.870798,3.411774,2.449928,-4.94263
v04a_confirmation_stress,stress,2020,Bull market,2020-03-09,2020-03-26,18,stress,-54.036507,9.999168,7.009549,-24.329604
v04a_confirmation_stress,watch,2020,Bull market,2020-03-27,2020-04-02,7,stress,,9.999168,6.058869,
v04a_confirmation_stress,stress,2020,Bull market,2020-04-03,2020-04-20,18,stress,-35.332356,9.999168,6.058869,-4.087856
v04a_confirmation_stress,watch,2020,Bull market,2020-04-21,2020-08-06,108,stress,-33.469335,4.090816,4.006706,-8.565766
v04a_confirmation_stress,normal,2020,Bull market,2020-08-07,2020-09-07,32,normal,-15.064681,2.100538,1.46398,-2.173168
v04a_confirmation_stress,watch,2020,Bull market,2020-09-08,2020-10-20,43,stress,-15.849957,2.292753,1.578244,-2.747254
v04a_confirmation_stress,normal,2020,Bull market,2020-10-21,2020-12-24,65,normal,-10.44802,2.182275,4.122659,-10.44802
v04a_confirmation_stress,normal,2021,Bull market,2021-01-01,2021-01-21,21,normal,-19.548703,,5.17907,-10.9957
v04a_confirmation_stress,stress,2021,Bull market,2021-01-22,2021-01-24,3,watch,-22.580897,,5.058263,-2.492053
v04a_confirmation_stress,normal,2021,Bull market,2021-01-25,2021-01-25,1,normal,-18.86114,,4.705025,3.389524
v04a_confirmation_stress,stress,2021,Bull market,2021-01-26,2021-01-27,2,watch,-24.436585,,4.630017,-3.757765
v04a_confirmation_stress,watch,2021,Bull market,2021-01-28,2021-02-07,11,watch,-19.333777,,4.740716,-2.384594
v04a_confirmation_stress,normal,2021,Bull market,2021-02-08,2021-04-22,74,normal,-12.400307,10.545595,5.247104,-10.00261
v04a_confirmation_stress,stress,2021,Bull market,2021-04-23,2021-04-25,3,watch,-23.076369,8.761143,4.619568,-12.737565
v04a_confirmation_stress,normal,2021,Bull market,2021-04-26,2021-04-28,3,normal,-19.688754,8.761143,4.276275,0.130596
v04a_confirmation_stress,watch,2021,Bull market,2021-04-29,2021-05-14,16,stress,-19.258143,9.491668,4.127495,-10.088635
v04a_confirmation_stress,stress,2021,Bull market,2021-05-15,2021-05-21,7,stress,-42.305372,11.545546,7.169009,-18.002004
v04a_confirmation_stress,crisis,2021,Bull market,2021-05-22,2021-05-23,2,stress,-46.401867,11.545546,7.307657,-10.610411
v04a_confirmation_stress,stress,2021,Bull market,2021-05-24,2021-05-27,4,stress,-39.735961,11.780346,7.712212,0.318859
v04a_confirmation_stress,watch,2021,Bull market,2021-05-28,2021-06-03,7,stress,,11.780346,7.120811,
v04a_confirmation_stress,crisis,2021,Bull market,2021-06-04,2021-06-06,3,stress,-43.580154,11.780346,7.120811,-2.025917
v04a_confirmation_stress,stress,2021,Bull market,2021-06-07,2021-06-07,1,stress,-42.268449,11.780346,6.526945,2.102331
v04a_confirmation_stress,crisis,2021,Bull market,2021-06-08,2021-06-09,2,stress,-47.562128,11.780346,6.78844,-9.169472
v04a_confirmation_stress,stress,2021,Bull market,2021-06-10,2021-06-10,1,stress,-39.337865,10.375612,6.817801,7.262309
v04a_confirmation_stress,crisis,2021,Bull market,2021-06-11,2021-06-13,3,stress,-42.526575,10.375612,6.639586,-2.775762
v04a_confirmation_stress,stress,2021,Bull market,2021-06-14,2021-06-17,4,stress,-38.840949,10.375612,6.26877,0.100048
v04a_confirmation_stress,crisis,2021,Bull market,2021-06-18,2021-06-20,3,stress,-45.391416,10.375612,5.649392,-5.079369
v04a_confirmation_stress,stress,2021,Bull market,2021-06-21,2021-06-22,2,stress,-52.446788,9.961989,5.856859,-11.086798
v04a_confirmation_stress,crisis,2021,Bull market,2021-06-23,2021-06-24,2,stress,-45.174287,10.872424,6.802787,0.687744
v04a_confirmation_stress,watch,2021,Bull market,2021-06-25,2021-07-08,14,stress,,10.872424,6.597697,
v04a_confirmation_stress,crisis,2021,Bull market,2021-07-09,2021-07-11,3,stress,-47.01208,10.872424,6.597697,0.850526
v04a_confirmation_stress,stress,2021,Bull market,2021-07-12,2021-07-27,16,stress,-52.350186,9.961989,6.02373,-3.382819
v04a_confirmation_stress,watch,2021,Bull market,2021-07-28,2021-09-07,42,stress,-45.430602,4.792694,4.14572,-1.327378
v04a_confirmation_stress,stress,2021,Bull market,2021-09-08,2021-09-08,1,stress,-25.073089,1.152842,2.899985,-6.971788
v04a_confirmation_stress,watch,2021,Bull market,2021-09-09,2021-09-09,1,stress,-23.821629,1.3089,2.84125,1.670241
v04a_confirmation_stress,stress,2021,Bull market,2021-09-10,2021-09-14,5,stress,-27.409269,3.187559,2.986489,-4.709526
v04a_confirmation_stress,watch,2021,Bull market,2021-09-15,2021-09-19,5,stress,-24.801416,3.223369,2.667872,-1.407278
v04a_confirmation_stress,stress,2021,Bull market,2021-09-20,2021-09-20,1,stress,-28.98099,3.223515,2.863978,-6.416786
v04a_confirmation_stress,watch,2021,Bull market,2021-09-21,2021-10-19,29,stress,-31.331181,5.648519,2.820793,-2.658096
v04a_confirmation_stress,normal,2021,Bull market,2021-10-20,2021-11-23,35,normal,-13.162302,5.648519,2.612328,-5.106337
v04a_confirmation_stress,watch,2021,Bull market,2021-11-24,2021-12-03,10,watch,-14.452604,4.491557,2.439198,-1.779659
v04a_confirmation_stress,stress,2021,Bull market,2021-12-04,2021-12-04,1,watch,-26.24721,4.491557,4.122857,-13.787219
v04a_confirmation_stress,watch,2021,Bull market,2021-12-05,2021-12-08,4,stress,-25.4818,4.887002,4.160341,-1.52053
v04a_confirmation_stress,stress,2021,Bull market,2021-12-09,2021-12-19,11,stress,-30.26582,5.903036,4.064363,-6.554881
