date,year,regime,source_alert_state,applied_alert_state,hedge_ratio,unhedged_daily_return_pct,hedged_daily_return_pct,unhedged_equity,hedged_equity,unhedged_drawdown_pct,hedged_drawdown_pct,unhedged_ewma_vol_pct,hedged_ewma_vol_pct,unhedged_historical_var_pct,hedged_historical_var_pct,methodology_note
2020-01-03,2020,Bull market,normal,,,,,1,1,0,0,,,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-04,2020,Bull market,normal,normal,0,0.714534,0.714534,1.007145,1.007145,0,0,0.714534,0.714534,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-05,2020,Bull market,normal,normal,0,1.60797,1.60797,1.02334,1.02334,0,0,0.796906,0.796906,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-06,2020,Bull market,normal,normal,0,1.36133,1.36133,1.037271,1.037271,0,0,0.841516,0.841516,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-07,2020,Bull market,normal,normal,0,3.287906,3.287906,1.071375,1.071375,0,0,1.14642,1.14642,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-08,2020,Bull market,normal,normal,0,2.702931,2.702931,1.100334,1.100334,0,0,1.293744,1.293744,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-09,2020,Bull market,normal,normal,0,-1.461171,-1.461171,1.084256,1.084256,-1.461171,-1.461171,1.304396,1.304396,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-10,2020,Bull market,normal,normal,0,-1.029423,-1.029423,1.073095,1.073095,-2.475552,-2.475552,1.289552,1.289552,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-11,2020,Bull market,normal,normal,0,0.432073,0.432073,1.077731,1.077731,-2.054176,-2.054176,1.254738,1.254738,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
2020-01-12,2020,Bull market,normal,normal,0,0.813183,0.813183,1.086495,1.086495,-1.257697,-1.257697,1.232713,1.232713,,,hedge ratio uses previous valid MTM alert_state; hedged_return = unhedged_return * (1 - hedge_ratio)
