year,regime,series,validReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,avgUnderwaterDurationDays,pctTimeUnderwater,volatilityPct,historicalVaRPct,ewmaMeanPct,ewmaMaxPct,ewmaP95Pct,hedgeActivationEvents,hedgeActivationFrequencyPct,pctDaysHedged,averageHedgeRatioPct,returnSacrificedPct,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio,volatilityEfficiencyRatio,varEfficiencyRatio
2020,Bull market,unhedged,254,53.363582,55.26896,-55.049727,192,22.9,90.15748,3.044786,-2.834669,2.536972,7.009548,6.275202,,,,,,,,,,,
2020,Bull market,hedged_v01,254,49.178648,50.911432,-52.173042,196,25.555556,90.551181,2.884632,-2.834669,2.430591,6.810413,5.591793,1,0.393701,12.598425,3.149606,4.184933,2.876686,0.160154,0,0.687391,0.038269,0
2021,Bull market,unhedged,247,-21.692251,-22.243171,-53.786797,194,38.333333,93.117409,4.258365,-8.343169,3.986654,7.712212,6.713734,,,,,,,,,,,
2021,Bull market,hedged_v01,247,-18.217701,-18.691209,-49.917539,194,38.333333,93.117409,3.751983,-6.739009,3.559512,5.818124,5.040699,7,2.834008,30.364372,9.311741,-3.474549,3.869259,0.506382,1.60416,,,
2022,Bear market,unhedged,240,-65.740357,-66.783758,-67.764356,234,118,98.333333,3.091512,-5.054033,2.975265,4.693771,4.135274,,,,,,,,,,,
2022,Bear market,hedged_v01,240,-57.431915,-58.468791,-59.944777,234,118,98.333333,2.632574,-4.181284,2.510586,4.07777,3.770327,1,0.416667,65.833333,16.458333,-8.308442,7.819579,0.458938,0.872749,,,
2023,Recovery,unhedged,247,109.602398,114.129251,-18.240579,73,12.1875,78.947368,2.366133,-2.762413,2.188168,5.720382,4.223485,,,,,,,,,,,
2023,Recovery,hedged_v01,247,109.602398,114.129251,-18.240579,73,12.1875,78.947368,2.366133,-2.762413,2.188168,5.720382,4.223485,0,0,0,0,0,0,0,0,,,
2024,ETF/Bull,unhedged,240,95.324089,99.1365,-15.374203,41,7.956522,76.25,2.142412,-3.681167,2.03955,3.355019,2.811438,,,,,,,,,,,
2024,ETF/Bull,hedged_v01,240,94.772768,98.558212,-15.374203,41,7.956522,76.25,2.142023,-3.681167,2.038867,3.354994,2.811424,1,0.416667,0.416667,0.104167,0.551321,0,0.000389,0,0,0.000706,0
2025,Mixed,unhedged,252,-10.094531,-10.370337,-29.529004,100,23.5,93.253968,1.854251,-2.795671,1.754363,2.983408,2.489884,,,,,,,,,,,
2025,Mixed,hedged_v01,252,-10.332149,-10.614056,-27.488555,100,23.6,93.650794,1.789071,-2.795671,1.708382,2.637037,2.428959,8,3.174603,12.698413,3.174603,0.237618,2.040449,0.06518,0,8.587099,0.274305,0
