configId,stressHedgePct,crisisHedgePct,validReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,avgUnderwaterDurationDays,pctTimeUnderwater,volatilityPct,historicalVaRPct,ewmaMaxPct,hedgeActivationEvents,hedgeActivationFrequencyPct,pctDaysHedged,averageHedgeRatioPct,returnSacrificedPct,returnEffect,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio,volatilityEfficiencyRatio,varEfficiencyRatio,paretoCandidate
stress10_crisis40,10,40,1480,63.387472,8.565335,-79.120422,1054,75.421053,96.824324,2.791555,-3.990281,6.92377,18,1.216216,20.135135,2.358108,-11.9449,return improved,1.770953,0.117786,0.190657,,,,false
stress10_crisis50,10,50,1480,61.707153,8.377634,-79.335153,1057,79.722222,96.959459,2.78522,-3.990281,6.92377,18,1.216216,20.135135,2.472973,-10.264581,return improved,1.556222,0.124121,0.190657,,,,false
stress10_crisis60,10,60,1480,59.969936,8.181862,-79.557155,1057,79.722222,96.959459,2.78003,-3.990281,6.92377,18,1.216216,20.135135,2.587838,-8.527365,return improved,1.33422,0.129311,0.190657,,,,false
stress20_crisis40,20,40,1480,82.173827,10.561354,-76.40412,894,62,96.351351,2.715878,-3.964381,6.84611,18,1.216216,20.135135,4.256757,-30.731255,return improved,4.487256,0.193463,0.216557,,,,false
stress20_crisis50,20,50,1480,80.300304,10.370202,-76.646786,895,62.043478,96.418919,2.709368,-3.964381,6.84611,18,1.216216,20.135135,4.371622,-28.857733,return improved,4.24459,0.199974,0.216557,,,,false
stress20_crisis60,20,60,1480,78.363342,10.17083,-76.897669,906,64.909091,96.486486,2.704033,-3.964381,6.84611,18,1.216216,20.135135,4.486486,-26.92077,return improved,3.993707,0.205308,0.216557,,,,false
stress25_crisis40,25,40,1480,92.088228,11.546473,-74.944893,892,59.375,96.283784,2.680659,-3.797859,6.810413,18,1.216216,20.135135,5.206081,-40.645657,return improved,5.946483,0.228682,0.383079,,,,false
stress25_crisis50,25,50,1480,90.112743,11.353618,-75.202566,892,59.375,96.283784,2.674064,-3.797859,6.810413,18,1.216216,20.135135,5.320946,-38.670172,return improved,5.688809,0.235278,0.383079,,,,false
stress25_crisis60,25,60,1480,88.070366,11.15247,-75.468964,894,62,96.351351,2.66866,-3.797859,6.810413,18,1.216216,20.135135,5.435811,-36.627795,return improved,5.422411,0.240682,0.383079,,,,false
stress30_crisis40,30,40,1480,102.350973,12.522577,-73.415592,887,56.88,96.081081,2.64728,-3.764845,6.776848,18,1.216216,20.135135,6.155405,-50.908402,return improved,7.475784,0.262061,0.416094,,,,true
stress30_crisis50,30,50,1480,100.269944,12.328034,-73.688992,887,56.88,96.081081,2.640602,-3.764845,6.776848,18,1.216216,20.135135,6.27027,-48.827372,return improved,7.202383,0.268739,0.416094,,,,true
stress30_crisis60,30,60,1480,98.118448,12.125126,-73.971651,887,56.88,96.081081,2.635131,-3.764845,6.776848,18,1.216216,20.135135,6.385135,-46.675876,return improved,6.919725,0.27421,0.416094,,,,true
