configId,year,regime,stressHedgePct,crisisHedgePct,validReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,volatilityPct,historicalVaRPct,ewmaMaxPct,hedgeActivationEvents,pctDaysHedged,averageHedgeRatioPct,returnSacrificedPct,returnEffect,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio
stress10_crisis40,2020,Bull market,10,40,254,51.739804,53.577803,-53.911913,192,2.976264,-2.834669,6.92377,1,12.598425,1.259843,1.623777,return sacrificed,1.137814,0.068522,0,0.700721
stress10_crisis50,2020,Bull market,10,50,254,51.739804,53.577803,-53.911913,192,2.976264,-2.834669,6.92377,1,12.598425,1.259843,1.623777,return sacrificed,1.137814,0.068522,0,0.700721
stress10_crisis60,2020,Bull market,10,60,254,51.739804,53.577803,-53.911913,192,2.976264,-2.834669,6.92377,1,12.598425,1.259843,1.623777,return sacrificed,1.137814,0.068522,0,0.700721
stress20_crisis40,2020,Bull market,20,40,254,50.048603,51.816978,-52.75697,196,2.913624,-2.834669,6.84611,1,12.598425,2.519685,3.314979,return sacrificed,2.292757,0.131161,0,0.691636
stress20_crisis50,2020,Bull market,20,50,254,50.048603,51.816978,-52.75697,196,2.913624,-2.834669,6.84611,1,12.598425,2.519685,3.314979,return sacrificed,2.292757,0.131161,0,0.691636
stress20_crisis60,2020,Bull market,20,60,254,50.048603,51.816978,-52.75697,196,2.913624,-2.834669,6.84611,1,12.598425,2.519685,3.314979,return sacrificed,2.292757,0.131161,0,0.691636
stress25_crisis40,2020,Bull market,25,40,254,49.178641,50.911425,-52.173042,196,2.884632,-2.834669,6.810413,1,12.598425,3.149606,4.18494,return sacrificed,2.876685,0.160154,0,0.68739
stress25_crisis50,2020,Bull market,25,50,254,49.178641,50.911425,-52.173042,196,2.884632,-2.834669,6.810413,1,12.598425,3.149606,4.18494,return sacrificed,2.876685,0.160154,0,0.68739
stress25_crisis60,2020,Bull market,25,60,254,49.178641,50.911425,-52.173042,196,2.884632,-2.834669,6.810413,1,12.598425,3.149606,4.18494,return sacrificed,2.876685,0.160154,0,0.68739
stress30_crisis40,2020,Bull market,30,40,254,48.292936,49.989641,-51.584793,196,2.857254,-2.826188,6.776848,1,12.598425,3.779528,5.070645,return sacrificed,3.464934,0.187532,0.008481,0.683332
stress30_crisis50,2020,Bull market,30,50,254,48.292936,49.989641,-51.584793,196,2.857254,-2.826188,6.776848,1,12.598425,3.779528,5.070645,return sacrificed,3.464934,0.187532,0.008481,0.683332
stress30_crisis60,2020,Bull market,30,60,254,48.292936,49.989641,-51.584793,196,2.857254,-2.826188,6.776848,1,12.598425,3.779528,5.070645,return sacrificed,3.464934,0.187532,0.008481,0.683332
stress10_crisis40,2021,Bull market,10,40,247,-21.645174,-22.195076,-52.893311,194,3.97023,-6.870276,6.616308,7,30.364372,5.101215,-0.047076,return improved,0.893486,0.288135,1.472893,
stress10_crisis50,2021,Bull market,10,50,247,-22.450996,-23.018223,-53.283166,194,3.943263,-6.870276,6.616308,7,30.364372,5.789474,0.758745,return sacrificed,0.503631,0.315102,1.472893,0.663769
stress10_crisis60,2021,Bull market,10,60,247,-23.284103,-23.868982,-53.691139,194,3.921049,-6.870276,6.616308,7,30.364372,6.477733,1.591852,return sacrificed,0.095658,0.337316,1.472893,0.060092
stress20_crisis40,2021,Bull market,20,40,247,-18.788108,-19.274628,-50.643132,194,3.840785,-6.805287,6.079341,7,30.364372,7.449393,-2.904143,return improved,3.143666,0.41758,1.537882,
stress20_crisis50,2021,Bull market,20,50,247,-19.623312,-20.128672,-51.051609,194,3.812915,-6.805287,6.079341,7,30.364372,8.137652,-2.068939,return improved,2.735188,0.44545,1.537882,
stress20_crisis60,2021,Bull market,20,60,247,-20.486797,-21.011366,-51.47907,194,3.78995,-6.805287,6.079341,7,30.364372,8.825911,-1.205454,return improved,2.307727,0.468415,1.537882,
stress25_crisis40,2021,Bull market,25,40,247,-17.367899,-17.821802,-49.4996,194,3.780295,-6.739009,5.843726,7,30.364372,8.623482,-4.324352,return improved,4.287197,0.47807,1.60416,
stress25_crisis50,2021,Bull market,25,50,247,-18.217708,-18.691216,-49.917542,194,3.751983,-6.739009,5.818124,7,30.364372,9.311741,-3.474542,return improved,3.869256,0.506382,1.60416,
stress25_crisis60,2021,Bull market,25,60,247,-19.096294,-19.589795,-50.354906,194,3.728649,-6.739009,5.818124,7,30.364372,10,-2.595957,return improved,3.431891,0.529716,1.60416,
stress30_crisis40,2021,Bull market,30,40,247,-15.954628,-16.375358,-48.344107,194,3.722813,-6.418077,5.622226,7,30.364372,9.797571,-5.737622,return improved,5.44269,0.535552,1.925092,
stress30_crisis50,2021,Bull market,30,50,247,-16.818973,-17.260075,-48.771612,194,3.694067,-6.418077,5.562666,7,30.364372,10.48583,-4.873278,return improved,5.015186,0.564298,1.925092,
stress30_crisis60,2021,Bull market,30,60,247,-17.712585,-18.174471,-49.218984,194,3.670372,-6.418077,5.562666,7,30.364372,11.174089,-3.979666,return improved,4.567814,0.587993,1.925092,
stress10_crisis40,2022,Bear market,10,40,240,-62.587408,-63.63451,-64.797977,234,2.901052,-4.54863,4.246015,1,65.833333,6.583333,-3.15295,return improved,2.966379,0.19046,0.505403,
stress10_crisis50,2022,Bear market,10,50,240,-62.587408,-63.63451,-64.797977,234,2.901052,-4.54863,4.246015,1,65.833333,6.583333,-3.15295,return improved,2.966379,0.19046,0.505403,
stress10_crisis60,2022,Bear market,10,60,240,-62.587408,-63.63451,-64.797977,234,2.901052,-4.54863,4.246015,1,65.833333,6.583333,-3.15295,return improved,2.966379,0.19046,0.505403,
stress20_crisis40,2022,Bear market,20,40,240,-59.208875,-60.251435,-61.617945,234,2.719464,-4.192158,4.07777,1,65.833333,13.166667,-6.531483,return improved,6.146411,0.372049,0.861876,
stress20_crisis50,2022,Bear market,20,50,240,-59.208875,-60.251435,-61.617945,234,2.719464,-4.192158,4.07777,1,65.833333,13.166667,-6.531483,return improved,6.146411,0.372049,0.861876,
stress20_crisis60,2022,Bear market,20,60,240,-59.208875,-60.251435,-61.617945,234,2.719464,-4.192158,4.07777,1,65.833333,13.166667,-6.531483,return improved,6.146411,0.372049,0.861876,
stress25_crisis40,2022,Bear market,25,40,240,-57.431918,-58.468795,-59.944779,234,2.632574,-4.181284,4.07777,1,65.833333,16.458333,-8.308439,return improved,7.819577,0.458938,0.872749,
stress25_crisis50,2022,Bear market,25,50,240,-57.431918,-58.468795,-59.944779,234,2.632574,-4.181284,4.07777,1,65.833333,16.458333,-8.308439,return improved,7.819577,0.458938,0.872749,
stress25_crisis60,2022,Bear market,25,60,240,-57.431918,-58.468795,-59.944779,234,2.632574,-4.181284,4.07777,1,65.833333,16.458333,-8.308439,return improved,7.819577,0.458938,0.872749,
stress30_crisis40,2022,Bear market,30,40,240,-55.594866,-56.623607,-58.214571,234,2.548645,-3.995636,4.07777,1,65.833333,19.75,-10.145491,return improved,9.549785,0.542867,1.058398,
stress30_crisis50,2022,Bear market,30,50,240,-55.594866,-56.623607,-58.214571,234,2.548645,-3.995636,4.07777,1,65.833333,19.75,-10.145491,return improved,9.549785,0.542867,1.058398,
stress30_crisis60,2022,Bear market,30,60,240,-55.594866,-56.623607,-58.214571,234,2.548645,-3.995636,4.07777,1,65.833333,19.75,-10.145491,return improved,9.549785,0.542867,1.058398,
stress10_crisis40,2023,Recovery,10,40,247,109.602398,114.129251,-18.240579,73,2.366133,-2.762413,5.720382,0,0,0,0,return improved,0,0,0,
stress10_crisis50,2023,Recovery,10,50,247,109.602398,114.129251,-18.240579,73,2.366133,-2.762413,5.720382,0,0,0,0,return improved,0,0,0,
stress10_crisis60,2023,Recovery,10,60,247,109.602398,114.129251,-18.240579,73,2.366133,-2.762413,5.720382,0,0,0,0,return improved,0,0,0,
