configId,stressHedgePct,crisisHedgePct,unhedgedTotalReturnPct,v02ProportionalTotalReturnPct,v03OverlayTotalReturnPct,v02MinusUnhedgedReturnPctPoints,v03MinusUnhedgedReturnPctPoints,v03MinusV02ReturnPctPoints,unhedgedMaxDrawdownPct,v02ProportionalMaxDrawdownPct,v03OverlayMaxDrawdownPct,v02DrawdownReductionPctPoints,v03DrawdownReductionPctPoints,v03MinusV02DrawdownReductionPctPoints,unhedgedHistoricalVaRPct,v02ProportionalHistoricalVaRPct,v03OverlayHistoricalVaRPct,v02VarReductionPctPoints,v03VarReductionPctPoints,v03MinusV02VarReductionPctPoints,v02ReturnEffect,v03ReturnEffect,v02ParetoCandidate,v03ParetoCandidate
stress10_crisis40,10,40,51.442572,63.387472,60.605735,11.9449,9.163163,-2.781737,-80.891376,-79.120422,-79.393872,1.770954,1.497504,-0.27345,-4.180938,-3.990281,-3.99344,0.190657,0.187498,-0.003159,return improved,return improved,false,false
stress10_crisis50,10,50,51.442572,61.707153,58.855452,10.264581,7.41288,-2.851701,-80.891376,-79.335153,-79.618438,1.556223,1.272938,-0.283285,-4.180938,-3.990281,-3.99344,0.190657,0.187498,-0.003159,return improved,return improved,false,false
stress10_crisis60,10,60,51.442572,59.969936,57.017449,8.527364,5.574877,-2.952487,-80.891376,-79.557155,-79.854258,1.334221,1.037117,-0.297104,-4.180938,-3.990281,-3.987591,0.190657,0.193347,0.00269,return improved,return improved,false,false
stress20_crisis40,20,40,51.442572,82.173827,75.940947,30.731255,24.498375,-6.23288,-80.891376,-76.40412,-77.024683,4.487256,3.866692,-0.620564,-4.180938,-3.964381,-3.800924,0.216557,0.380014,0.163457,return improved,return improved,false,false
stress20_crisis50,20,50,51.442572,80.300304,74.02354,28.857732,22.580968,-6.276764,-80.891376,-76.646786,-77.275069,4.24459,3.616307,-0.628283,-4.180938,-3.964381,-3.800924,0.216557,0.380014,0.163457,return improved,return improved,false,false
stress20_crisis60,20,60,51.442572,78.363342,72.010038,26.92077,20.567466,-6.353304,-80.891376,-76.897669,-77.538003,3.993707,3.353373,-0.640334,-4.180938,-3.964381,-3.792343,0.216557,0.388595,0.172038,return improved,return improved,false,false
stress25_crisis40,25,40,51.442572,92.088228,83.829338,40.645656,32.386766,-8.25889,-80.891376,-74.944893,-75.773472,5.946483,5.117903,-0.82858,-4.180938,-3.797859,-3.798788,0.383079,0.382151,-0.000928,return improved,return improved,false,false
stress25_crisis50,25,50,51.442572,90.112743,81.825963,38.670171,30.383391,-8.28678,-80.891376,-75.202566,-76.037493,5.68881,4.853882,-0.834928,-4.180938,-3.797859,-3.798788,0.383079,0.382151,-0.000928,return improved,return improved,false,false
stress25_crisis60,25,60,51.442572,88.070366,79.722185,36.627794,28.279613,-8.348181,-80.891376,-75.468964,-76.314746,5.422412,4.576629,-0.845783,-4.180938,-3.797859,-3.781987,0.383079,0.398951,0.015872,return improved,return improved,false,false
stress30_crisis40,30,40,51.442572,102.350973,91.849644,50.908401,40.407072,-10.501329,-80.891376,-73.415592,-74.47765,7.475784,6.413725,-1.062059,-4.180938,-3.764845,-3.768169,0.416093,0.412769,-0.003324,return improved,return improved,true,true
stress30_crisis50,30,50,51.442572,100.269944,89.758864,48.827372,38.316292,-10.51108,-80.891376,-73.688992,-74.755793,7.202384,6.135582,-1.066802,-4.180938,-3.764845,-3.768169,0.416093,0.412769,-0.003324,return improved,return improved,true,true
stress30_crisis60,30,60,51.442572,98.118448,87.5633,46.675876,36.120728,-10.555148,-80.891376,-73.971651,-75.047876,6.919725,5.8435,-1.076225,-4.180938,-3.764845,-3.764845,0.416093,0.416094,0.000001,return improved,return improved,true,true
