configId,stressHedgePct,crisisHedgePct,validReturnDays,underlyingReturnDays,missingUnderlyingReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,avgUnderwaterDurationDays,pctTimeUnderwater,volatilityPct,historicalVaRPct,ewmaMaxPct,hedgeActivationEvents,hedgeActivationFrequencyPct,pctDaysHedged,averageHedgeRatioPct,returnSacrificedPct,returnEffect,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio,paretoCandidate
stress10_crisis40,10,40,1480,1480,0,60.605735,8.253717,-79.393872,1057,79.722222,96.959459,2.783709,-3.99344,6.959716,18,1.216216,20.135135,2.358108,-9.163164,return improved,1.497504,0.125632,0.187498,,false
stress10_crisis50,10,50,1480,1480,0,58.855452,8.055333,-79.618438,1057,79.722222,96.959459,2.777721,-3.99344,6.959716,18,1.216216,20.135135,2.472973,-7.41288,return improved,1.272938,0.13162,0.187498,,false
stress10_crisis60,10,60,1480,1480,0,57.017449,7.845039,-79.854258,1072,89.8125,97.094595,2.773401,-3.987591,6.959716,18,1.216216,20.135135,2.587838,-5.574877,return improved,1.037117,0.13594,0.193347,,false
stress20_crisis40,20,40,1480,1480,0,75.940947,9.918941,-77.024683,910,64.954545,96.554054,2.705711,-3.800924,6.912476,18,1.216216,20.135135,4.256757,-24.498375,return improved,3.866692,0.20363,0.380014,,false
stress20_crisis50,20,50,1480,1480,0,74.02354,9.717506,-77.275069,910,64.954545,96.554054,2.699551,-3.800924,6.912476,18,1.216216,20.135135,4.371622,-22.580968,return improved,3.616307,0.20979,0.380014,,false
stress20_crisis60,20,60,1480,1480,0,72.010038,9.503977,-77.538003,911,65,96.621622,2.695107,-3.792343,6.912476,18,1.216216,20.135135,4.486486,-20.567467,return improved,3.353373,0.214234,0.388595,,false
stress25_crisis40,25,40,1480,1480,0,83.829338,10.728905,-75.773472,894,62,96.351351,2.670118,-3.798788,6.889845,18,1.216216,20.135135,5.206081,-32.386766,return improved,5.117903,0.239223,0.382151,,false
stress25_crisis50,25,50,1480,1480,0,81.825963,10.525986,-76.037493,894,62,96.351351,2.663877,-3.798788,6.889845,18,1.216216,20.135135,5.320946,-30.383391,return improved,4.853882,0.245464,0.382151,,false
stress25_crisis60,25,60,1480,1480,0,79.722185,10.310883,-76.314746,894,62,96.351351,2.659374,-3.781987,6.889845,18,1.216216,20.135135,5.435811,-28.279614,return improved,4.576629,0.249967,0.398951,,false
stress30_crisis40,30,40,1480,1480,0,91.849644,11.523269,-74.47765,891,59.333333,96.216216,2.63692,-3.768169,6.867883,18,1.216216,20.135135,6.155405,-40.407073,return improved,6.413725,0.272421,0.412769,,true
stress30_crisis50,30,50,1480,1480,0,89.758864,11.318895,-74.755793,892,59.375,96.283784,2.630601,-3.768169,6.867883,18,1.216216,20.135135,6.27027,-38.316293,return improved,6.135582,0.27874,0.412769,,true
stress30_crisis60,30,60,1480,1480,0,87.5633,11.102249,-75.047876,892,59.375,96.283784,2.626041,-3.764845,6.867883,18,1.216216,20.135135,6.385135,-36.120729,return improved,5.8435,0.2833,0.416094,,true
