scenarioId,label,configId,stressHedgePct,crisisHedgePct,validReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,avgUnderwaterDurationDays,pctTimeUnderwater,volatilityPct,historicalVaRPct,ewmaMaxPct,hedgeActivationEvents,hedgeActivationFrequencyPct,pctDaysHedged,averageHedgeRatioPct,averageActivationDurationDays,returnSacrificedPct,returnEffect,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio,paretoCandidate
A_immediate,Immediate execution,stress30_crisis40,30,40,1480,91.849644,11.523269,-74.47765,891,59.333333,96.216216,2.63692,-3.768169,6.867883,18,1.216216,20.135135,6.155405,16.555556,-40.407073,return improved,6.413725,0.272421,0.412769,,true
B_delay_1_valid_mtm_day,1 valid MTM day delay,stress30_crisis40,30,40,1480,84.140212,10.760228,-75.358439,892,62.043478,96.418919,2.640777,-3.781987,7.009548,18,1.216216,20.067568,6.135135,16.5,-32.69764,return improved,5.532937,0.268564,0.398951,,false
C_delay_2_valid_mtm_days,2 valid MTM days delay,stress30_crisis40,30,40,1480,64.901157,8.733051,-77.049401,910,71.6,96.756757,2.643837,-3.781987,7.009548,17,1.148649,20,6.121622,17.411765,-13.458586,return improved,3.841974,0.265504,0.398951,,false
D_confirmation,Confirmation rule,stress30_crisis40,30,40,1480,87.569434,11.102857,-75.090181,892,59.416667,96.351351,2.645529,-3.781987,7.009548,11,0.743243,18.918919,5.790541,25.454545,-36.126862,return improved,5.801195,0.263812,0.398951,,false
E_gradual_deescalation,Gradual de-escalation,stress30_crisis40,30,40,1480,91.849644,11.523269,-74.47765,891,59.333333,96.216216,2.63692,-3.768169,6.867883,18,1.216216,20.135135,6.155405,16.555556,-40.407073,return improved,6.413725,0.272421,0.412769,,true
F_delay_confirmation,Delay + confirmation,stress30_crisis40,30,40,1480,71.063873,9.402918,-76.461316,895,64.954545,96.554054,2.648222,-3.781987,7.009548,11,0.743243,18.851351,5.77027,25.363636,-19.621302,return improved,4.43006,0.26112,0.398951,,false
G_delay_confirmation_gradual_exit,Delay + confirmation + gradual exit,stress30_crisis40,30,40,1480,71.063873,9.402918,-76.461316,895,64.954545,96.554054,2.648222,-3.781987,7.009548,11,0.743243,18.851351,5.77027,25.363636,-19.621302,return improved,4.43006,0.26112,0.398951,,false
A_immediate,Immediate execution,stress25_crisis50,25,50,1480,81.825963,10.525986,-76.037493,894,62,96.351351,2.663877,-3.798788,6.889845,18,1.216216,20.135135,5.320946,16.555556,-30.383391,return improved,4.853882,0.245464,0.382151,,false
B_delay_1_valid_mtm_day,1 valid MTM day delay,stress25_crisis50,25,50,1480,79.339498,10.27153,-76.248046,894,62.043478,96.418919,2.666546,-3.875478,7.009548,18,1.216216,20.067568,5.304054,16.5,-27.896926,return improved,4.643329,0.242795,0.30546,,false
C_delay_2_valid_mtm_days,2 valid MTM days delay,stress25_crisis50,25,50,1480,62.196186,8.432429,-77.803891,947,75.473684,96.891892,2.667219,-3.875478,7.009548,17,1.148649,20,5.304054,17.411765,-10.753614,return improved,3.087485,0.242123,0.30546,,false
D_confirmation,Confirmation rule,stress25_crisis50,25,50,1480,78.426377,10.177347,-76.51823,895,62.043478,96.418919,2.671148,-3.876212,7.009548,11,0.743243,18.918919,5.016892,25.454545,-26.983805,return improved,4.373145,0.238193,0.304727,,false
E_gradual_deescalation,Gradual de-escalation,stress25_crisis50,25,50,1480,81.825963,10.525986,-76.037493,894,62,96.351351,2.663877,-3.798788,6.889845,18,1.216216,20.135135,5.320946,16.555556,-30.383391,return improved,4.853882,0.245464,0.382151,,false
F_delay_confirmation,Delay + confirmation,stress25_crisis50,25,50,1480,68.646866,9.14263,-77.138595,910,71.6,96.756757,2.672901,-3.875478,7.009548,11,0.743243,18.851351,5,25.363636,-17.204294,return improved,3.752781,0.23644,0.30546,,false
G_delay_confirmation_gradual_exit,Delay + confirmation + gradual exit,stress25_crisis50,25,50,1480,68.646866,9.14263,-77.138595,910,71.6,96.756757,2.672901,-3.875478,7.009548,11,0.743243,18.851351,5,25.363636,-17.204294,return improved,3.752781,0.23644,0.30546,,false
