year,regime,scenarioId,configId,validReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,volatilityPct,historicalVaRPct,ewmaMaxPct,hedgeActivationEvents,pctDaysHedged,averageHedgeRatioPct,averageActivationDurationDays,returnSacrificedPct,returnEffect,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio
2020,Bull market,A_immediate,stress30_crisis40,254,49.209144,50.943174,-51.827328,196,2.852638,-2.789744,6.867883,1,12.598425,3.779528,32,4.154437,return sacrificed,3.222399,0.192148,0.044925,0.775652
2021,Bull market,A_immediate,stress30_crisis40,247,-19.824221,-20.334075,-48.570244,194,3.70737,-6.294472,5.596739,7,30.364372,9.797571,10.714286,-1.868029,return improved,5.216553,0.550995,2.048697,
2022,Bear market,A_immediate,stress30_crisis40,240,-55.223827,-56.250654,-57.94776,234,2.506626,-3.996334,4.07777,1,65.833333,19.75,158,-10.51653,return improved,9.816596,0.584886,1.057699,
2023,Recovery,A_immediate,stress30_crisis40,247,109.602398,114.129251,-18.240579,73,2.366133,-2.762413,5.720382,0,0,0,0,0,return improved,0,0,0,
2024,ETF/Bull,A_immediate,stress30_crisis40,240,94.121329,97.87497,-15.374203,41,2.141767,-3.681167,3.354974,1,0.416667,0.125,1,1.20276,return sacrificed,0,0.000644,0,0
2025,Mixed,A_immediate,stress30_crisis40,252,-11.975027,-12.298607,-27.67166,100,1.782559,-2.795671,2.650082,8,12.698413,3.809524,4,1.880496,return sacrificed,1.857344,0.071692,0,0.987688
2020,Bull market,B_delay_1_valid_mtm_day,stress30_crisis40,254,44.925366,46.486353,-52.748295,212,2.873376,-2.789744,7.009548,1,12.598425,3.779528,32,8.438215,return sacrificed,2.301433,0.171409,0.044925,0.272739
2021,Bull market,B_delay_1_valid_mtm_day,stress30_crisis40,247,-21.562177,-22.11028,-49.055121,194,3.697362,-6.544129,5.674854,7,29.959514,9.676113,10.571429,-0.130074,return improved,4.731676,0.561003,1.79904,
2022,Bear market,B_delay_1_valid_mtm_day,stress30_crisis40,240,-55.811202,-56.841017,-58.513468,234,2.513749,-4.165529,4.078009,2,65.833333,19.75,79,-9.929155,return improved,9.250888,0.577763,0.888504,
2023,Recovery,B_delay_1_valid_mtm_day,stress30_crisis40,247,108.902444,113.393569,-18.240579,73,2.365767,-2.762413,5.718255,1,0.404858,0.121457,1,0.699954,return sacrificed,0,0.000366,0,0
2024,ETF/Bull,B_delay_1_valid_mtm_day,stress30_crisis40,240,95.522036,99.344141,-15.374203,41,2.142336,-3.681167,3.355018,1,0.416667,0.125,1,-0.197947,return improved,0,0.000076,0,
2025,Mixed,B_delay_1_valid_mtm_day,stress30_crisis40,252,-10.251483,-10.531321,-27.426744,100,1.792666,-2.795671,2.650072,8,12.301587,3.690476,3.875,0.156952,return sacrificed,2.10226,0.061585,0,13.394296
2020,Bull market,C_delay_2_valid_mtm_days,stress30_crisis40,254,41.403373,42.824933,-53.540862,212,2.877384,-2.789744,7.009548,1,12.598425,3.779528,32,11.960209,return sacrificed,1.508865,0.167401,0.044925,0.126157
2021,Bull market,C_delay_2_valid_mtm_days,stress30_crisis40,247,-26.239327,-26.884653,-50.240203,194,3.705788,-6.798139,5.876263,6,29.554656,9.595142,12.166667,4.547077,return sacrificed,3.546594,0.552577,1.54503,0.779972
2022,Bear market,C_delay_2_valid_mtm_days,stress30_crisis40,240,-56.233819,-57.265644,-58.971289,234,2.518708,-4.165529,4.077999,2,65.833333,19.75,79,-9.506538,return improved,8.793067,0.572804,0.888504,
2023,Recovery,C_delay_2_valid_mtm_days,stress30_crisis40,247,108.826706,113.313969,-18.240579,73,2.365778,-2.762413,5.718252,1,0.809717,0.242915,2,0.775692,return sacrificed,0,0.000355,0,0
2024,ETF/Bull,C_delay_2_valid_mtm_days,stress30_crisis40,240,95.073744,98.873904,-15.374203,41,2.142396,-3.681167,3.355014,1,0.416667,0.125,1,0.250345,return sacrificed,0,0.000016,0,0
2025,Mixed,C_delay_2_valid_mtm_days,stress30_crisis40,252,-11.322068,-11.629192,-27.628192,100,1.78713,-2.795671,2.653507,7,11.904762,3.571429,4.285714,1.227536,return sacrificed,1.900812,0.067121,0,1.548477
2020,Bull market,D_confirmation,stress30_crisis40,254,46.356559,47.974941,-52.748295,197,2.875722,-2.789744,7.009548,1,12.204724,3.661417,31,7.007022,return sacrificed,2.301433,0.169063,0.044925,0.328447
2021,Bull market,D_confirmation,stress30_crisis40,247,-20.681386,-21.210245,-48.522703,194,3.711442,-6.294472,5.596877,5,27.530364,8.947368,13.6,-1.010864,return improved,5.264095,0.546923,2.048697,
2022,Bear market,D_confirmation,stress30_crisis40,240,-55.826179,-56.856067,-58.513468,234,2.513706,-4.165529,4.07777,1,65.416667,19.625,157,-9.914178,return improved,9.250888,0.577807,0.888504,
2023,Recovery,D_confirmation,stress30_crisis40,247,109.602398,114.129251,-18.240579,73,2.366133,-2.762413,5.720382,0,0,0,0,0,return improved,0,0,0,
2024,ETF/Bull,D_confirmation,stress30_crisis40,240,95.324089,99.1365,-15.374203,41,2.142412,-3.681167,3.355019,0,0,0,0,0,return improved,0,0,0,
2025,Mixed,D_confirmation,stress30_crisis40,252,-10.657574,-10.947807,-27.426744,100,1.800892,-2.795671,2.650076,4,9.52381,2.857143,6,0.563043,return sacrificed,2.10226,0.053359,0,3.733749
2020,Bull market,E_gradual_deescalation,stress30_crisis40,254,49.209144,50.943174,-51.827328,196,2.852638,-2.789744,6.867883,1,12.598425,3.779528,32,4.154437,return sacrificed,3.222399,0.192148,0.044925,0.775652
