"asset","regime","regime_label","regime_start","regime_end","tenor","moneyness_label","xOtm","source_batch_name","comparison_scope","cycleCount","returnPct","volatilityPct","drawdownPct","hitRatePct","averageCycleReturnPct","warnings"
"ETH","Bull","bull_2020_2021","2020-01-01T00:00:00Z","2021-12-31T23:59:59Z","weekly","otm03","0,03","batch_years_eth_weekly_otm03_2020_2026","full_period","103","1497,110564","8,585208","-44,317285","74,757282","3,14653",""
"ETH","Bear","bear_2022","2022-01-01T00:00:00Z","2022-12-31T23:59:59Z","weekly","otm03","0,03","batch_years_eth_weekly_otm03_2020_2026","full_period","51","-37,841647","8,584492","-57,355807","56,862745","-0,512596",""
"ETH","Recovery/transition","recovery_transition_2023","2023-01-01T00:00:00Z","2023-12-31T23:59:59Z","weekly","otm03","0,03","batch_years_eth_weekly_otm03_2020_2026","full_period","51","38,881466","3,863116","-19,872917","62,745098","0,720274",""
"ETH","ETF/bull regime","etf_bull_2024_2025","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","weekly","otm03","0,03","batch_years_eth_weekly_otm03_2020_2026","full_period","102","28,165654","6,052145","-42,96251","64,705882","0,435039",""
"ETH","Bull","bull_2020_2021","2020-01-01T00:00:00Z","2021-12-31T23:59:59Z","weekly","otm05","0,05","batch_years_eth_weekly_otm05_2020_2026","full_period","103","1670,679012","8,929789","-44,317285","70,873786","3,280633",""
"ETH","Bear","bear_2022","2022-01-01T00:00:00Z","2022-12-31T23:59:59Z","weekly","otm05","0,05","batch_years_eth_weekly_otm05_2020_2026","full_period","51","-45,465143","9,015766","-59,402139","56,862745","-0,725804",""
"ETH","Recovery/transition","recovery_transition_2023","2023-01-01T00:00:00Z","2023-12-31T23:59:59Z","weekly","otm05","0,05","batch_years_eth_weekly_otm05_2020_2026","full_period","51","48,506666","4,475151","-20,684847","62,745098","0,877248",""
"ETH","ETF/bull regime","etf_bull_2024_2025","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","weekly","otm05","0,05","batch_years_eth_weekly_otm05_2020_2026","full_period","102","25,560461","6,652728","-47,351344","61,764706","0,453523",""
"ETH","Bull","bull_2020_2021","2020-01-01T00:00:00Z","2021-12-31T23:59:59Z","weekly","",,"batch_years_eth_weekly_otm05_2020_2026","full_period","103","2298,359672","13,678532","-51,530127","62,135922","4,054417",""
"ETH","Bear","bear_2022","2022-01-01T00:00:00Z","2022-12-31T23:59:59Z","weekly","",,"batch_years_eth_weekly_otm05_2020_2026","full_period","51","-62,931088","11,402353","-67,602763","41,176471","-1,247198",""
"ETH","Recovery/transition","recovery_transition_2023","2023-01-01T00:00:00Z","2023-12-31T23:59:59Z","weekly","",,"batch_years_eth_weekly_otm05_2020_2026","full_period","51","86,969066","6,933997","-26,545127","49,019608","1,459844",""
"ETH","ETF/bull regime","etf_bull_2024_2025","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","weekly","",,"batch_years_eth_weekly_otm05_2020_2026","full_period","102","26,866131","9,340178","-61,658929","56,862745","0,660497",""
