"strategy","year","cycles","returnPct","btcReturnPct","excessReturnPct","volatilityPct","sharpe","maxDrawdownPct","positiveCyclePct"
"Weekly OTM03","2020","51","269,57123","376,546091","-106,974861","8,688235","2,53507","-44,317285","72,54902"
"Weekly OTM03","2021","52","332,152299","403,279686","-71,127388","8,566764","2,724697","-26,157155","76,923077"
"Weekly OTM03","2022","51","-37,841647","-62,931088","25,089441","8,584492","-0,430589","-57,355807","56,862745"
"Weekly OTM03","2023","51","38,881466","86,969066","-48,0876","3,863116","1,344502","-19,872917","62,745098"
"Weekly OTM03","2024","51","24,944591","47,207627","-22,263036","5,435786","0,780448","-28,231316","66,666667"
"Weekly OTM03","2025","51","2,577993","-13,818235","16,396228","6,662866","0,304955","-40,091779","62,745098"
"Weekly OTM03","2026","23","-21,290202","-44,966666","23,676463","8,08139","-0,605058","-39,048819","69,565217"
"Weekly OTM03","STABILITY_2020_2025","307","105,047655","139,542191","-34,494536","155,149203","1,209847","-57,355807","83,333333"
"Weekly OTM05","2020","51","271,202725","376,546091","-105,343366","8,836215","2,510427","-44,317285","72,54902"
"Weekly OTM05","2021","52","377,011318","403,279686","-26,268368","9,102292","2,757869","-27,357155","69,230769"
"Weekly OTM05","2022","51","-45,465143","-62,931088","17,465945","9,015766","-0,580521","-59,402139","56,862745"
"Weekly OTM05","2023","51","48,506666","86,969066","-38,462399","4,475151","1,413567","-20,684847","62,745098"
"Weekly OTM05","2024","51","29,423989","47,207627","-17,783637","6,112087","0,821318","-31,279241","60,784314"
"Weekly OTM05","2025","51","-2,985172","-13,818235","10,833063","7,205905","0,211053","-43,060917","62,745098"
"Weekly OTM05","2026","23","-27,771356","-44,966666","17,195309","8,244192","-0,902431","-40,119545","65,217391"
"Weekly OTM05","STABILITY_2020_2025","307","112,949064","139,542191","-26,593127","169,963622","1,188952","-59,402139","66,666667"
"ETH Buy & Hold","2020","51","376,546091","376,546091","0","11,826689","2,363342","-51,530127","60,784314"
"ETH Buy & Hold","2021","52","403,279686","403,279686","0","15,395242","1,981027","-50,774655","63,461538"
"ETH Buy & Hold","2022","51","-62,931088","-62,931088","0","11,402353","-0,788756","-67,602763","41,176471"
"ETH Buy & Hold","2023","51","86,969066","86,969066","0","6,933997","1,518184","-26,545127","49,019608"
"ETH Buy & Hold","2024","51","47,207627","47,207627","0","8,689854","0,934","-40,169533","54,901961"
"ETH Buy & Hold","2025","51","-13,818235","-13,818235","0","10,013387","0,140762","-54,767145","58,823529"
"ETH Buy & Hold","2026","23","-44,966666","-44,966666","0","8,326607","-1,885747","-49,854175","52,173913"
"ETH Buy & Hold","STABILITY_2020_2025","307","139,542191","139,542191","0","200,764922","1,02476","-67,602763","66,666667"
