strategy,asset,tenor,moneyness,friction_model,total_return,annual_return,cagr,adjusted_return,trade_count,avg_premium,avg_premium_haircut,degradation_vs_raw_pct
covered_call,BTC,weekly,itm05,raw,370.42429,58.384985,27.642555,370.42429,325,2662.137424,0,0
covered_call,BTC,weekly,itm05,uniform,370.42,-6.695549,-8.347674,-42.48,325,2662.137424,0.1,111.46793
covered_call,BTC,weekly,itm05,moneyness,370.42,18.858816,13.204185,119.65,325,2662.137424,0.04,67.699202
covered_call,BTC,weekly,atm00,raw,607.385304,95.733954,36.119336,607.385304,325,1351.631779,0,0
covered_call,BTC,weekly,atm00,uniform,607.39,27.778334,17.369174,176.24,325,1351.631779,0.1,70.983822
covered_call,BTC,weekly,atm00,moneyness,607.39,61.661156,28.515386,391.21,325,1351.631779,0.041,35.591132
covered_call,BTC,weekly,otm03,raw,993.852091,156.647501,45.799835,993.852091,325,839.084614,0,0
covered_call,BTC,weekly,otm03,uniform,993.85,83.298751,33.605706,528.49,325,839.084614,0.1,46.824079
covered_call,BTC,weekly,otm03,moneyness,993.85,110.642064,38.838608,701.97,325,839.084614,0.0582,29.368766
covered_call,BTC,weekly,otm05,raw,1063.935479,167.6938,47.233962,1063.935479,325,606.753238,0,0
covered_call,BTC,weekly,otm05,uniform,1063.94,107.179229,38.232079,680,325,606.753238,0.1,36.08635
covered_call,BTC,weekly,otm05,moneyness,1063.94,124.529655,41.138564,790.08,325,606.753238,0.0698,25.739858
covered_call,BTC,weekly,otm07,raw,819.216356,129.122026,41.856926,819.216356,325,419.882181,0,0
covered_call,BTC,weekly,otm07,uniform,819.22,91.740692,35.339075,582.05,325,419.882181,0.1,28.950393
covered_call,BTC,weekly,otm07,moneyness,819.22,98.146227,36.579345,622.69,325,419.882181,0.0821,23.989555
covered_call,BTC,weekly,otm10,raw,1109.021386,174.800084,48.118556,1109.021386,325,264.852434,0,0
covered_call,BTC,weekly,otm10,uniform,1109.02,142.472719,43.841539,903.92,325,264.852434,0.1,18.493907
covered_call,BTC,weekly,otm10,moneyness,1109.02,142.433315,43.835892,903.67,325,264.852434,0.1021,18.51645
