year,frictionModel,scenario,haircutPct,relativeMoneyness,appliedHaircutPct,originalReturnPct,adjustedReturnPct,deltaReturnPct,originalTotalPnL,adjustedTotalPnL,totalPremiumHaircutUsd,adjustedFinalCapital,adjustedCallPnL,tradeCount,runName,originalCallPnL
2020,uniform,optimistic,0.05,-0.0013,0.05,58.53,48.46,-10.07,4027.33,3334.35,692.98,10215.41,-8136.13,51,btc_2020-01-03_2020-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-7443.15
2020,uniform,realistic,0.1,-0.0013,0.1,58.53,38.39,-20.14,4027.33,2641.36,1385.97,9522.42,-8829.12,51,btc_2020-01-03_2020-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-7443.15
2020,uniform,conservative,0.2,-0.0013,0.2,58.53,18.24,-40.28,4027.33,1255.4,2771.94,8136.46,-10215.08,51,btc_2020-01-03_2020-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-7443.15
2021,uniform,optimistic,0.05,0.001,0.05,99.5,81.31,-18.19,27565.38,22525.65,5039.73,50228.75,-648.89,52,btc_2021-01-01_2021-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,4390.84
2021,uniform,realistic,0.1,0.001,0.1,99.5,63.12,-36.38,27565.38,17485.93,10079.46,45189.02,-5688.62,52,btc_2021-01-01_2021-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,4390.84
2021,uniform,conservative,0.2,0.001,0.2,99.5,26.74,-72.77,27565.38,7406.47,20158.91,35109.56,-15768.07,52,btc_2021-01-01_2021-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,4390.84
2022,uniform,optimistic,0.05,0.0012,0.05,-10.54,-18.7,-8.16,-4246.15,-7533.74,3287.59,32756.18,24658.46,51,btc_2022-01-07_2022-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,27946.05
2022,uniform,realistic,0.1,0.0012,0.1,-10.54,-26.86,-16.32,-4246.15,-10821.33,6575.18,29468.6,21370.87,51,btc_2022-01-07_2022-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,27946.05
2022,uniform,conservative,0.2,0.0012,0.2,-10.54,-43.18,-32.64,-4246.15,-17396.51,13150.36,22893.42,14795.69,51,btc_2022-01-07_2022-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,27946.05
2023,uniform,optimistic,0.05,0.001,0.05,57.67,50.13,-7.53,9567.02,8317.24,1249.78,24907.24,-11854.99,51,btc_2023-01-06_2023-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-10605.21
2023,uniform,realistic,0.1,0.001,0.1,57.67,42.6,-15.07,9567.02,7067.46,2499.56,23657.46,-13104.77,51,btc_2023-01-06_2023-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-10605.21
2023,uniform,conservative,0.2,0.001,0.2,57.67,27.53,-30.13,9567.02,4567.9,4999.12,21157.9,-15604.33,51,btc_2023-01-06_2023-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-10605.21
2024,uniform,optimistic,0.05,-0.0013,0.05,50.7,41.59,-9.1,21228.98,17417.15,3811.83,59291.52,-24706.46,51,btc_2024-01-05_2024-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-20894.62
2024,uniform,realistic,0.1,-0.0013,0.1,50.7,32.49,-18.21,21228.98,13605.32,7623.66,55479.68,-28518.29,51,btc_2024-01-05_2024-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-20894.62
2024,uniform,conservative,0.2,-0.0013,0.2,50.7,14.28,-36.41,21228.98,5981.66,15247.33,47856.02,-36141.95,51,btc_2024-01-05_2024-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-20894.62
2025,uniform,optimistic,0.05,0.0001,0.05,7.06,0.47,-6.59,6592.55,436.38,6156.17,93836.71,6737.09,51,btc_2025-01-03_2025-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,12893.26
2025,uniform,realistic,0.1,0.0001,0.1,7.06,-6.12,-13.18,6592.55,-5719.78,12312.34,87680.55,580.92,51,btc_2025-01-03_2025-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,12893.26
2025,uniform,conservative,0.2,0.0001,0.2,7.06,-19.31,-26.36,6592.55,-18032.12,24624.67,75368.21,-11731.41,51,btc_2025-01-03_2025-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,12893.26
2026,uniform,optimistic,0.05,0.0014,0.05,-1.71,-3.69,-1.98,-1494.79,-3220.72,1725.94,84096.38,3953.13,18,btc_2026-01-02_2026-05-08T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,5679.06
2026,uniform,realistic,0.1,0.0014,0.1,-1.71,-5.67,-3.95,-1494.79,-4946.66,3451.87,82370.44,2227.19,18,btc_2026-01-02_2026-05-08T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,5679.06
