year,frictionModel,scenario,haircutPct,relativeMoneyness,appliedHaircutPct,originalReturnPct,adjustedReturnPct,deltaReturnPct,originalTotalPnL,adjustedTotalPnL,totalPremiumHaircutUsd,adjustedFinalCapital,adjustedCallPnL,tradeCount,runName,originalCallPnL
2020,uniform,optimistic,0.05,-0.0497,0.05,26.79,10.01,-16.77,1843.2,689.09,1154.1,7570.15,-9195.46,51,btc_2020-01-03_2020-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8041.35
2020,uniform,realistic,0.1,-0.0497,0.1,26.79,-6.76,-33.54,1843.2,-465.01,2308.21,6416.05,-10349.56,51,btc_2020-01-03_2020-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8041.35
2020,uniform,conservative,0.2,-0.0497,0.2,26.79,-40.3,-67.09,1843.2,-2773.22,4616.42,4107.84,-12657.77,51,btc_2020-01-03_2020-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8041.35
2021,uniform,optimistic,0.05,-0.0468,0.05,110.87,80.26,-30.6,30097.93,21789.61,8308.32,48937.43,-1958.47,52,btc_2021-01-01_2021-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6349.85
2021,uniform,realistic,0.1,-0.0468,0.1,110.87,49.66,-61.21,30097.93,13481.28,16616.65,40629.11,-10266.79,52,btc_2021-01-01_2021-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6349.85
2021,uniform,conservative,0.2,-0.0468,0.2,110.87,-11.55,-122.42,30097.93,-3135.36,33233.29,24012.46,-26883.44,52,btc_2021-01-01_2021-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6349.85
2022,uniform,optimistic,0.05,-0.0455,0.05,10.7,-6.49,-17.19,4184.98,-2537.4,6722.39,36563.85,32003.41,51,btc_2022-01-07_2022-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,38725.79
2022,uniform,realistic,0.1,-0.0455,0.1,10.7,-23.68,-34.38,4184.98,-9259.79,13444.77,29841.46,25281.02,51,btc_2022-01-07_2022-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,38725.79
2022,uniform,conservative,0.2,-0.0455,0.2,10.7,-58.07,-68.77,4184.98,-22704.56,26889.54,16396.69,11836.25,51,btc_2022-01-07_2022-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,38725.79
2023,uniform,optimistic,0.05,-0.0477,0.05,22.05,6.64,-15.42,3508.81,1056.2,2452.61,16966.49,-16422.04,51,btc_2023-01-06_2023-12-31T08-00-00Z_itm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-13969.43
