year,frictionModel,scenario,haircutPct,relativeMoneyness,appliedHaircutPct,originalReturnPct,adjustedReturnPct,deltaReturnPct,originalTotalPnL,adjustedTotalPnL,totalPremiumHaircutUsd,adjustedFinalCapital,adjustedCallPnL,tradeCount,runName,originalCallPnL
2020,uniform,optimistic,0.05,0.0281,0.05,113.91,106.37,-7.54,7838.18,7319.06,519.12,14200.12,-6561.55,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-6042.43
2020,uniform,realistic,0.1,0.0281,0.1,113.91,98.82,-15.09,7838.18,6799.94,1038.24,13681,-7080.67,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-6042.43
2020,uniform,conservative,0.2,0.0281,0.2,113.91,83.73,-30.18,7838.18,5761.69,2076.49,12642.76,-8118.91,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-6042.43
2021,uniform,optimistic,0.05,0.0298,0.05,104.45,90.59,-13.86,29395.91,25495.15,3900.76,53639.34,3963.7,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,7864.46
2021,uniform,realistic,0.1,0.0298,0.1,104.45,76.73,-27.72,29395.91,21594.39,7801.52,49738.58,62.94,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,7864.46
2021,uniform,conservative,0.2,0.0298,0.2,104.45,49.01,-55.44,29395.91,13792.87,15603.04,41937.06,-7738.58,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,7864.46
2022,uniform,optimistic,0.05,0.0301,0.05,-18.68,-23.55,-4.87,-7603.1,-9587.15,1984.05,31119.86,22033.23,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,24017.29
2022,uniform,realistic,0.1,0.0301,0.1,-18.68,-28.43,-9.75,-7603.1,-11571.2,3968.1,29135.81,20049.18,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,24017.29
2022,uniform,conservative,0.2,0.0301,0.2,-18.68,-38.17,-19.5,-7603.1,-15539.3,7936.21,25167.7,16081.08,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,24017.29
2023,uniform,optimistic,0.05,0.0303,0.05,67.28,63.13,-4.14,11161.4,10473.99,687.41,27063.98,-9663.08,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8975.67
2023,uniform,realistic,0.1,0.0303,0.1,67.28,58.99,-8.29,11161.4,9786.58,1374.82,26376.57,-10350.49,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8975.67
2023,uniform,conservative,0.2,0.0303,0.2,67.28,50.7,-16.57,11161.4,8411.76,2749.64,25001.75,-11725.31,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8975.67
2024,uniform,optimistic,0.05,0.0278,0.05,72.88,66.96,-5.93,30839.62,28331.59,2508.03,70644.43,-16732.13,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-14224.1
2024,uniform,realistic,0.1,0.0278,0.1,72.88,61.03,-11.85,30839.62,25823.57,5016.05,68136.41,-19240.15,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-14224.1
