run_name,startDate,endDate,underlying,underlyingPriceSource,optionSettlementPriceSource,entryHourUtc,entryMinuteUtc,maxEntryDelayMinutes,xOtm,strikeStep,strikeRange,tenor,fallbackMode,sizingMode,finalCapital,totalPnL,callWeeks,totalWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,missingObservedInstrumentWeeks,missingObservedCandleWeeks,invalidObservedOpenWeeks,settlementFallbackWeeks,initialBtcPrice,finalBtcPrice,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,annualizedVolatilityOfWeeklyReturnsPct,path,createdAt
btc_2020-01-03_2020-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2020,2020-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.03,1000,3000,weekly,long_btc,dynamic,14719.242,7838.181001,51,51,38,13,13,13,0,0,0,7194,23678,113.9094829,229.1353906,0.524914828,52.4914828,btc_2020-01-03_2020-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:18:34.432Z
btc_2021-01-01_2021-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,01/01/2021,2021-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.03,1000,3000,weekly,long_btc,dynamic,57540.09777,29395.91479,52,52,37,15,15,15,0,0,0,29186.5,47184,104.4475685,61.66378291,0.520115991,52.01159911,btc_2021-01-01_2021-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:23:54.499Z
btc_2022-01-07_2022-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,07/01/2022,2022-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.03,1000,3000,weekly,long_btc,dynamic,33103.91012,-7603.097876,51,51,36,15,15,15,0,0,0,41708,16467.5,-18.67761412,-60.51716697,0.457747312,45.77473124,btc_2022-01-07_2022-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:28:24.200Z
btc_2023-01-06_2023-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,06/01/2023,2023-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.03,1000,3000,weekly,long_btc,dynamic,27751.39406,11161.39856,51,51,37,14,14,14,0,0,0,16783,42343.5,67.27788784,152.2999464,0.280510528,28.05105278,btc_2023-01-06_2023-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:32:04.976Z
btc_2024-01-05_2024-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,05/01/2024,2024-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.03,1000,3000,weekly,long_btc,dynamic,73152.45729,30839.61979,51,51,36,15,15,15,0,0,0,43847.5,95077,72.884783,116.8356235,0.297653885,29.76538853,btc_2024-01-05_2024-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:35:11.517Z
btc_2025-01-03_2025-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2025,2025-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.03,1000,3000,weekly,long_btc,dynamic,99000.89899,4396.956491,51,51,38,13,13,13,0,0,1,96289,88458,4.647751854,-8.132808524,0.347296053,34.72960531,btc_2025-01-03_2025-12-31T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:37:35.361Z
btc_2026-01-02_2026-05-08T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,02/01/2026,2026-05-08T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.03,1000,3000,weekly,long_btc,dynamic,89499.12036,1433.282165,18,18,12,6,6,6,0,0,0,88798,79684,1.627512091,-10.26374468,0.450590844,45.05908437,btc_2026-01-02_2026-05-08T08-00-00Z_otm03_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:38:15.266Z
btc_2020-01-03_2020-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2020,2020-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.05,1000,3000,weekly,long_btc,dynamic,18001.36485,10828.94685,51,51,38,13,13,13,0,0,1,7194,23678,150.9804204,229.1353906,0.582019696,58.20196955,btc_2020-01-03_2020-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:47:23.969Z
btc_2021-01-01_2021-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,01/01/2021,2021-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.05,1000,3000,weekly,long_btc,dynamic,59807.44517,31328.20051,52,52,37,15,15,15,0,0,0,29186.5,47184,110.0036215,61.66378291,0.554724483,55.47244833,btc_2021-01-01_2021-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:52:31.388Z
btc_2022-01-07_2022-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,07/01/2022,2022-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.05,1000,3000,weekly,long_btc,dynamic,27187.48,-13832.338,51,51,36,15,15,15,0,0,0,41708,16467.5,-33.72111012,-60.51716697,0.487840173,48.78401734,btc_2022-01-07_2022-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T09:56:50.479Z
